anchor,metric,n,mean,sd,mcse,ci_low,ci_high
S0,fixed_point_indicator,20,1.0,0.0,0.0,1.0,1.0
S0,basin_fraction,20,0.5522222222222222,0.09971369019846497,0.022296658957112216,0.5055547786920489,0.5988896657523954
S0,end_to_end_success,20,0.1,0.24708830724853692,0.055250625145308256,-0.01564088745022421,0.21564088745022422
S0,r0_released,20,6.2,0.5191085476184402,0.11607620001760187,5.957049721218855,6.4429502787811455
S0,d_hat_at_r_true,20,2.0700000000000003,0.14903196407411898,0.033324560249003654,2.000250893796258,2.1397491062037424
S0,ARI_at_r_true,20,0.6353045548305944,0.047874864221771764,0.010705145081345423,0.6128984286694081,0.6577106809917808
S0,delta,20,8.714841819220124,2.7539347953460727,0.615798540799579,7.425960660657098,10.003722977783152
S0,delta_over_lambda_max_Gamma_xi,20,1.3220837560802432,0.47964135297978366,0.10725106700827676,1.0976046929709675,1.5465628191895189
S0,actual_spectral_radius,20,0.9129335703075144,0.01761366913176346,0.00393853615118128,0.9046901194039355,0.9211770212110933
S0,realised_offdiag_density,20,0.2938030303030303,0.004087875694243754,0.0009140767935898179,0.2918898455864704,0.29571621501959017
S1,fixed_point_indicator,19,0.9157894736842105,0.2432720422689537,0.055810434107322324,0.7985361025927212,1.0330428447756999
S1,basin_fraction,19,0.4175438596491228,0.15263195237942861,0.03501617136722325,0.343977613458869,0.49111010583937653
S1,end_to_end_success,19,0.021052631578947368,0.0917662935482247,0.021052631578947364,-0.023177306110335995,0.06528256926823073
S1,r0_released,19,6.389473684210526,0.49204193231664184,0.11288216099751165,6.152317064220825,6.626630304200227
S1,d_hat_at_r_true,19,2.0421052631578944,0.10706067580626216,0.02456140350877193,1.990503669187064,2.093706857128725
S1,ARI_at_r_true,19,0.5535532734233994,0.12771179585877512,0.029299095370868264,0.4919981581996204,0.6151083886471784
S1,delta,19,6.872915437671373,3.121042084908098,0.7160161603500994,5.368621305223144,8.377209570119602
S1,delta_over_lambda_max_Gamma_xi,19,0.9137527195435259,0.48816597852321697,0.1119929562135447,0.6784642494827491,1.1490411896043027
S1,actual_spectral_radius,19,0.9170693523443345,0.023213040599192998,0.005325436744431006,0.9058810249140503,0.9282576797746187
S1,realised_offdiag_density,19,0.2953907496012759,0.004105288569797303,0.0009418177899904772,0.2934120638483939,0.29736943535415794
S2,fixed_point_indicator,19,0.7684210526315789,0.40695704329538185,0.09336234874140399,0.5722740364321004,0.9645680688310574
S2,basin_fraction,19,0.24561403508771926,0.1616909420000311,0.03709444611915957,0.16768149566544616,0.32354657450999236
S2,end_to_end_success,19,0.0,0.0,0.0,0.0,0.0
S2,r0_released,19,6.515789473684211,0.4867844125765382,0.11167600324799681,6.281166897094473,6.750412050273948
S2,d_hat_at_r_true,19,2.0,0.0,0.0,2.0,2.0
S2,ARI_at_r_true,19,0.41797676173250814,0.13836185806321613,0.03174238720726723,0.35128848083889774,0.48466504262611854
S2,delta,19,3.5690306053737153,4.27777307705527,0.9813884498043659,1.507209981141814,5.630851229605616
S2,delta_over_lambda_max_Gamma_xi,19,0.405390829234222,0.3913957247833805,0.08979233743497965,0.2167441284723198,0.5940375299961241
S2,actual_spectral_radius,19,0.9201229219259952,0.02296975213098628,0.005269622541955117,0.9090518557838511,0.9311939880681394
S2,realised_offdiag_density,19,0.2968314726209463,0.005071584576071985,0.0011635012974061762,0.2943870471013767,0.29927589814051586
S3,fixed_point_indicator,18,0.13333333333333333,0.2656844656620286,0.06262242910851495,0.0012115568784344666,0.26545510978823217
S3,basin_fraction,18,0.019753086419753086,0.03725426492339704,0.008780914451818063,0.0012269763216868346,0.03827919651781934
S3,end_to_end_success,18,0.0,0.0,0.0,0.0,0.0
S3,r0_released,18,6.711111111111111,0.45618480374010567,0.10752378939962769,6.484255745248123,6.9379664769741
S3,d_hat_at_r_true,18,2.1222222222222222,0.24865652084648238,0.05860890402560061,1.9985682435092802,2.245876200935164
S3,ARI_at_r_true,18,0.1672455605943109,0.14451489714633292,0.03406248791821615,0.09537999296470395,0.23911112822391783
S3,delta,18,-43.45299148017412,125.1139676526506,29.4896449827812,-105.67070384961599,18.764720889267757
S3,delta_over_lambda_max_Gamma_xi,18,-0.2193529552084052,0.399489387243036,0.09416055157720314,-0.41801435374335305,-0.020691556673457345
S3,actual_spectral_radius,18,0.9234115303971061,0.033542103343529174,0.007905949576489817,0.9067314348230643,0.9400916259711479
S3,realised_offdiag_density,18,0.2975476992143659,0.004631820364296638,0.0010917305296106992,0.2952443491361972,0.29985104929253464
S4,fixed_point_indicator,17,0.0,0.0,0.0,0.0,0.0
