anchor,replication,origin_index,fixed_point_indicator,basin_fraction,d_hat_at_r_true,ARI_at_r_true,r0_released,end_to_end_success,released_stop_state,released_terminal_r,released_n_iter
S0,10,124,1,0.5555555555555556,2.0,0.5891616796246871,7,0,wrong_fixed_point,7.0,1.0
S0,10,249,1,0.5555555555555556,2.0,0.583376303664399,7,0,wrong_fixed_point,7.0,1.0
S0,10,374,1,0.5555555555555556,2.0,0.66590195002743,7,0,wrong_fixed_point,7.0,1.0
S0,10,498,1,0.5555555555555556,2.0,0.6136729712226632,7,0,wrong_fixed_point,7.0,1.0
S0,11,0,1,0.5555555555555556,3.0,0.6498308697465363,6,0,wrong_fixed_point,6.0,1.0
S0,11,124,1,0.5555555555555556,2.0,0.6404334695327767,6,0,wrong_fixed_point,6.0,1.0
S0,11,249,1,0.4444444444444444,2.0,0.6554103896529679,6,0,wrong_fixed_point,6.0,1.0
S0,11,374,1,0.5555555555555556,2.0,0.6948622777886306,6,0,wrong_fixed_point,6.0,1.0
S0,11,498,1,0.5555555555555556,2.0,0.638665199003534,6,0,wrong_fixed_point,6.0,1.0
S0,12,0,1,0.5555555555555556,2.0,0.6817338505650195,6,0,wrong_fixed_point,6.0,1.0
S0,12,124,1,0.5555555555555556,2.0,0.5981588984024384,6,0,wrong_fixed_point,6.0,1.0
S0,12,249,1,0.5555555555555556,2.0,0.6927175268416705,6,0,wrong_fixed_point,6.0,1.0
S0,12,374,1,0.5555555555555556,2.0,0.5726194611224136,6,0,wrong_fixed_point,6.0,1.0
S0,12,498,1,0.5555555555555556,2.0,0.5668276972624798,6,0,wrong_fixed_point,6.0,1.0
S0,13,0,1,0.5555555555555556,2.0,0.67827371870031,7,0,wrong_fixed_point,7.0,1.0
S0,13,124,1,0.5555555555555556,2.0,0.6777757652599167,7,0,wrong_fixed_point,7.0,1.0
S0,13,249,1,0.5555555555555556,2.0,0.6503434854205825,6,0,wrong_fixed_point,6.0,1.0
S0,13,374,1,0.5555555555555556,2.0,0.6953542141419518,6,0,wrong_fixed_point,6.0,1.0
S0,13,498,1,0.5555555555555556,2.0,0.5915627552829112,6,0,wrong_fixed_point,6.0,1.0
S0,14,0,1,0.8888888888888888,3.0,0.4871203702167891,5,1,correct_fixed_point,5.0,1.0
S0,14,124,1,1.0,3.0,0.6349185474988904,5,1,correct_fixed_point,5.0,1.0
S0,14,249,1,1.0,3.0,0.6231110667797117,5,1,correct_fixed_point,5.0,1.0
S0,14,374,1,0.8888888888888888,2.0,0.6398520419214556,5,1,correct_fixed_point,5.0,1.0
S0,14,498,1,0.5555555555555556,2.0,0.6574470566672777,5,1,correct_fixed_point,5.0,1.0
S0,15,0,1,0.5555555555555556,2.0,0.6727618694017728,7,0,wrong_fixed_point,7.0,1.0
S0,15,124,1,0.4444444444444444,2.0,0.6059716250430718,7,0,wrong_fixed_point,7.0,1.0
S0,15,249,1,0.4444444444444444,2.0,0.6528835690968444,7,0,wrong_fixed_point,7.0,1.0
S0,15,374,1,0.4444444444444444,2.0,0.6227322467315556,7,0,wrong_fixed_point,7.0,1.0
S0,15,498,1,0.3333333333333333,2.0,0.6600720273011779,7,0,wrong_fixed_point,7.0,1.0
S0,16,0,1,0.4444444444444444,2.0,0.6390517338301666,6,0,wrong_fixed_point,6.0,1.0
S0,16,124,1,0.5555555555555556,2.0,0.6789189189189189,6,0,wrong_fixed_point,6.0,1.0
S0,16,249,1,0.5555555555555556,2.0,0.633844927247359,6,0,wrong_fixed_point,6.0,1.0
S0,16,374,1,0.4444444444444444,2.0,0.5971475191877682,6,0,wrong_fixed_point,6.0,1.0
S0,16,498,1,0.5555555555555556,2.0,0.6277776962905378,6,0,wrong_fixed_point,6.0,1.0
S0,17,0,1,0.5555555555555556,2.0,0.7113317893263575,7,0,wrong_fixed_point,7.0,1.0
S0,17,124,1,0.5555555555555556,2.0,0.7244445151336821,7,0,wrong_fixed_point,7.0,1.0
S0,17,249,1,0.5555555555555556,2.0,0.7277370350969093,6,0,wrong_fixed_point,6.0,1.0
S0,17,374,1,0.5555555555555556,2.0,0.6888423258250392,6,0,wrong_fixed_point,6.0,1.0
S0,17,498,1,0.4444444444444444,2.0,0.695675044794766,6,0,wrong_fixed_point,6.0,1.0
S0,18,0,1,0.5555555555555556,3.0,0.5738208997587397,7,0,wrong_fixed_point,7.0,1.0
S0,18,124,1,0.5555555555555556,2.0,0.6251270793122247,7,0,wrong_fixed_point,7.0,1.0
S0,18,249,1,0.5555555555555556,2.0,0.6756385781676475,6,0,wrong_fixed_point,6.0,1.0
S0,18,374,1,0.5555555555555556,2.0,0.6045200534098215,6,0,wrong_fixed_point,6.0,1.0
S0,18,498,1,0.5555555555555556,2.0,0.6349882397813235,6,0,wrong_fixed_point,6.0,1.0
S0,19,0,1,0.5555555555555556,2.0,0.5609575625680087,6,0,wrong_fixed_point,6.0,1.0
S0,19,124,1,0.5555555555555556,2.0,0.5566490282379705,6,0,wrong_fixed_point,6.0,1.0
S0,19,249,1,0.5555555555555556,2.0,0.5598687807545106,5,1,correct_fixed_point,5.0,1.0
S0,19,374,1,1.0,2.0,0.5581795614398014,5,1,correct_fixed_point,5.0,1.0
S0,19,498,1,0.5555555555555556,2.0,0.5656042097944091,6,0,wrong_fixed_point,6.0,1.0
S1,0,0,1,0.4444444444444444,2.0,0.6147774391766998,7,0,wrong_fixed_point,7.0,1.0
S1,0,124,1,0.4444444444444444,2.0,0.56159811524492,7,0,wrong_fixed_point,7.0,1.0
S1,0,249,1,0.3333333333333333,2.0,0.5242549274242598,7,0,wrong_fixed_point,7.0,1.0
S1,0,374,1,0.4444444444444444,2.0,0.5704153271728631,7,0,wrong_fixed_point,7.0,1.0
S1,0,498,1,0.3333333333333333,2.0,0.6572564157084676,7,0,wrong_fixed_point,7.0,1.0
S1,1,0,1,0.3333333333333333,2.0,0.7054346312711747,7,0,wrong_fixed_point,7.0,1.0
S1,1,124,1,0.2222222222222222,2.0,0.8493853483026285,6,0,wrong_fixed_point,7.0,2.0
S1,1,249,1,0.2222222222222222,2.0,0.7912662033614274,7,0,wrong_fixed_point,7.0,1.0
S1,1,374,1,0.2222222222222222,2.0,0.7573125686333233,7,0,wrong_fixed_point,7.0,1.0
S1,1,498,1,0.2222222222222222,2.0,0.77916341475565,7,0,wrong_fixed_point,7.0,1.0
S1,2,0,1,0.5555555555555556,2.0,0.473954576899866,6,0,wrong_fixed_point,6.0,1.0
S1,2,124,1,0.5555555555555556,2.0,0.6117066606862526,6,0,wrong_fixed_point,6.0,1.0
S1,2,249,1,0.5555555555555556,2.0,0.5829860015609173,6,0,wrong_fixed_point,6.0,1.0
S1,2,374,1,0.5555555555555556,2.0,0.4871632484045403,6,0,wrong_fixed_point,6.0,1.0
