anchor,initialiser,n_worlds,P_reach_r_true,reach_sd,reach_mcse,reach_ci_low,reach_ci_high,mean_r0,r0_sd
S0,ER,20,0.59,0.4564162458476738,0.10205777517506548,0.37639062161919745,0.8036093783808025,5.569999999999999,1.1521604420437834
S0,GR,20,0.41,0.46100576546229194,0.10308402295930096,0.19424266032100942,0.6257573396789905,6.090000000000001,1.0207840124139875
S0,released,20,0.1,0.24708830724853692,0.055250625145308256,-0.01564088745022421,0.21564088745022422,6.2,0.5191085476184402
S0,zero_fixed,20,0.1,0.24708830724853692,0.055250625145308256,-0.01564088745022421,0.21564088745022422,6.2,0.5191085476184402
S1,ER,19,0.5368421052631579,0.4809833980916245,0.11034515925274659,0.30501552815516386,0.7686686823711519,5.494736842105264,1.2080625830967378
S1,GR,19,0.4,0.4666666666666667,0.10706067580626215,0.17507386655553175,0.6249261334444682,5.989473684210526,1.118478498696682
S1,released,19,0.021052631578947368,0.0917662935482247,0.021052631578947364,-0.023177306110335995,0.06528256926823073,6.389473684210526,0.49204193231664184
S1,zero_fixed,19,0.021052631578947368,0.0917662935482247,0.021052631578947364,-0.023177306110335995,0.06528256926823073,6.389473684210526,0.49204193231664184
S2,ER,19,0.3368421052631579,0.46691722596883567,0.10711815805244734,0.11179520610075658,0.5618890044255592,5.842105263157895,1.3801432250449324
S2,GR,19,0.25263157894736843,0.41548956538927473,0.09531984355934121,0.052372018741228155,0.4528911391535087,6.3052631578947365,1.1592496060481567
S2,released,19,0.0,0.0,0.0,0.0,0.0,6.515789473684211,0.4867844125765382
S2,zero_fixed,19,0.0,0.0,0.0,0.0,0.0,6.515789473684211,0.4867844125765382
S3,ER,18,0.022222222222222223,0.09428090415820635,0.022222222222222227,-0.024662568396292914,0.06910701284073736,6.211111111111111,1.352074175170652
S3,GR,18,0.022222222222222223,0.09428090415820635,0.022222222222222227,-0.024662568396292914,0.06910701284073736,6.433333333333334,0.9107204646354898
S3,released,18,0.0,0.0,0.0,0.0,0.0,6.711111111111111,0.45618480374010567
S3,zero_fixed,18,0.0,0.0,0.0,0.0,0.0,6.711111111111111,0.45618480374010567
S4,ER,17,0.0,0.0,0.0,0.0,0.0,4.870588235294117,2.3151038599494713
S4,GR,17,0.0,0.0,0.0,0.0,0.0,5.811764705882353,2.0584831651428366
S4,released,17,0.0,0.0,0.0,0.0,0.0,9.0,1.2569805089976533
S4,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,9.0,1.2569805089976533
loading_scale_negative_gap,ER,20,0.15000000000000002,0.2743413164194136,0.0613445832550588,0.021604311639511597,0.27839568836048845,6.58,0.9752732410646988
loading_scale_negative_gap,GR,20,0.14,0.25214866124653734,0.056382154698282436,0.021990793977127013,0.258009206022873,6.609999999999999,0.9391485505499118
loading_scale_negative_gap,released,20,0.27,0.3510885328442626,0.07850578255604387,0.10568550870005558,0.4343144912999445,5.68,0.6135316231716006
loading_scale_negative_gap,zero_fixed,20,0.27,0.3510885328442626,0.07850578255604387,0.10568550870005558,0.4343144912999445,5.68,0.6135316231716006
loading_scale_positive_gap,ER,20,0.97,0.1341640786499874,0.03,0.9072092783677521,1.0327907216322478,5.01,0.35821193373990806
loading_scale_positive_gap,GR,20,0.9,0.2635786110641877,0.05893796917545018,0.7766414127978101,1.02335858720219,5.2,0.5271572221283753
loading_scale_positive_gap,released,20,0.1,0.24708830724853692,0.055250625145308256,-0.01564088745022421,0.21564088745022422,6.23,0.536165724576391
loading_scale_positive_gap,zero_fixed,20,0.1,0.24708830724853692,0.055250625145308256,-0.01564088745022421,0.21564088745022422,6.23,0.536165724576391
