family,contrast,anchor_a,anchor_b,metric,n_paired,estimate_a_minus_b,sd_difference,degenerate_zero_variance,mcse,ci_low,ci_high,p_raw,p_holm,reject_holm_0_05,inferential_status
S,S1-S0,S1,S0,fixed_point_indicator,19,-0.08421052631578947,0.2432720422689537,False,0.055810434107322324,-0.20146389740727877,0.03304284477569981,0.14868564440908383,0.14868564440908383,False,formal_paired_inference
S,S1-S0,S1,S0,basin_fraction,19,-0.1403508771929825,0.1411402966958146,False,0.032379804745179125,-0.20837832264082815,-0.07232343174513686,0.00039934798765641047,0.00039934798765641047,True,formal_paired_inference
S,S1-S0,S1,S0,end_to_end_success,19,-0.08421052631578947,0.2432720422689537,False,0.055810434107322324,-0.20146389740727877,0.03304284477569981,0.14868564440908374,0.344276767708257,False,formal_paired_inference
S,S2-S0,S2,S0,fixed_point_indicator,19,-0.23157894736842108,0.4069570432953818,False,0.09336234874140398,-0.42772596356789955,-0.03543193116894261,0.023232987510086064,0.04646597502017213,True,formal_paired_inference
S,S2-S0,S2,S0,basin_fraction,19,-0.312280701754386,0.13748149828594372,False,0.031540418822894156,-0.37854466281783516,-0.24601674069093682,1.0406863023104812e-08,2.0813726046209623e-08,True,formal_paired_inference
S,S2-S0,S2,S0,end_to_end_success,19,-0.10526315789473684,0.25270466778990647,False,0.0579744268135379,-0.2270629089576351,0.01653659316816143,0.08611521849575518,0.344276767708257,False,formal_paired_inference
S,S3-S0,S3,S0,fixed_point_indicator,18,-0.8666666666666667,0.2656844656620286,False,0.06262242910851495,-0.9987884431215656,-0.7345448902117678,1.1030981939051411e-10,3.309294581715423e-10,True,formal_paired_inference
S,S3-S0,S3,S0,basin_fraction,18,-0.5432098765432098,0.08074533775964096,False,0.019031858626346772,-0.583363588348195,-0.5030561647382247,8.38777782331938e-16,3.355111129327752e-15,True,formal_paired_inference
S,S3-S0,S3,S0,end_to_end_success,18,-0.1111111111111111,0.25870466670542186,False,0.06097727471733649,-0.239761915203561,0.017539692981338784,0.08606919192706425,0.344276767708257,False,formal_paired_inference
S,S4-S0,S4,S0,fixed_point_indicator,17,-1.0,0.0,True,0.0,-1.0,-1.0,,,,deterministic_no_variance
S,S4-S0,S4,S0,basin_fraction,17,-0.54640522875817,0.10601037205527118,False,0.025711291846759403,-0.6009107325939332,-0.49189972492240674,3.7458907630671257e-13,1.1237672289201377e-12,True,formal_paired_inference
S,S4-S0,S4,S0,end_to_end_success,17,-0.09411764705882353,0.2561020017378186,False,0.06211385906453787,-0.2257931460448044,0.037557851927157354,0.14921586043570345,0.344276767708257,False,formal_paired_inference
E,loading_scale_negative_gap-S0,loading_scale_negative_gap,S0,fixed_point_indicator,20,-0.4600000000000001,0.4057481718349061,False,0.09072804939691155,-0.649895989797277,-0.2701040102027231,6.799643449340369e-05,0.00013599286898680738,True,formal_paired_inference
E,loading_scale_negative_gap-S0,loading_scale_negative_gap,S0,basin_fraction,20,-0.3244444444444445,0.2348903771523057,False,0.0525230850573119,-0.4343765248811295,-0.21451236400775947,6.1767778996734465e-06,1.853033369902034e-05,True,formal_paired_inference
E,loading_scale_negative_gap-S0,loading_scale_negative_gap,S0,end_to_end_success,20,0.16999999999999998,0.4117996446919558,False,0.09208119986414735,-0.022728166274435302,0.36272816627443527,0.0805027417275896,0.1610054834551792,False,formal_paired_inference
E,loading_scale_positive_gap-S0,loading_scale_positive_gap,S0,fixed_point_indicator,20,0.0,0.0,True,0.0,0.0,0.0,,,,deterministic_no_variance
E,loading_scale_positive_gap-S0,loading_scale_positive_gap,S0,basin_fraction,20,-0.042222222222222244,0.046109173495540404,False,0.010310324632235994,-0.0638019796862502,-0.02064246475819428,0.0006165506624770947,0.0006165506624770947,True,formal_paired_inference
E,loading_scale_positive_gap-S0,loading_scale_positive_gap,S0,end_to_end_success,20,0.0,0.0,True,0.0,0.0,0.0,,,,deterministic_no_variance
E,loading_scale_positive_gap-loading_scale_negative_gap,loading_scale_positive_gap,loading_scale_negative_gap,fixed_point_indicator,20,0.4600000000000001,0.4057481718349061,False,0.09072804939691155,0.2701040102027231,0.649895989797277,6.799643449340369e-05,0.00013599286898680738,True,formal_paired_inference
E,loading_scale_positive_gap-loading_scale_negative_gap,loading_scale_positive_gap,loading_scale_negative_gap,basin_fraction,20,0.2822222222222222,0.24183616426080587,False,0.05407621027049671,0.16903941335483344,0.395405031089611,4.886368686817958e-05,9.772737373635916e-05,True,formal_paired_inference
E,loading_scale_positive_gap-loading_scale_negative_gap,loading_scale_positive_gap,loading_scale_negative_gap,end_to_end_success,20,-0.16999999999999998,0.4117996446919558,False,0.09208119986414735,-0.36272816627443527,0.022728166274435302,0.0805027417275896,0.1610054834551792,False,formal_paired_inference
