experiment,structural_seed,T,residual_type,r_used,r_selected,branch,status,d_hat,d_embed,K_gmm,ARI,MP_edge,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8
paired_T_true_residual,3674827978,200,true,,,oracle,ok,2,4,4,0.42593915629621015,2.914213562373095,4.873947407589954,3.7200647300018312,2.5730809215030948,2.472495064140366,2.4290083830860096,2.321118341022225,2.240023979747092,2.1923520186547116
paired_T_true_residual,3674827978,200,true,,,mp_fixed_k,ok,2,2,4,0.5043048177321854,2.914213562373095,4.873947407589954,3.7200647300018312,2.5730809215030948,2.472495064140366,2.4290083830860096,2.321118341022225,2.240023979747092,2.1923520186547116
paired_T_true_residual,3674827978,200,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,2.914213562373095,4.873947407589954,3.7200647300018312,2.5730809215030948,2.472495064140366,2.4290083830860096,2.321118341022225,2.240023979747092,2.1923520186547116
paired_T_true_residual,3674827978,500,true,,,oracle,ok,2,4,4,0.6291792377316667,2.0944271909999155,6.302002502054096,4.172603678450527,1.8728560852683018,1.8283359729527595,1.7421588579907523,1.6913996945738723,1.6778509164582172,1.6509707809600829
paired_T_true_residual,3674827978,500,true,,,mp_fixed_k,ok,2,2,4,0.6442507956079111,2.0944271909999155,6.302002502054096,4.172603678450527,1.8728560852683018,1.8283359729527595,1.7421588579907523,1.6913996945738723,1.6778509164582172,1.6509707809600829
paired_T_true_residual,3674827978,500,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,2.0944271909999155,6.302002502054096,4.172603678450527,1.8728560852683018,1.8283359729527595,1.7421588579907523,1.6913996945738723,1.6778509164582172,1.6509707809600829
paired_T_true_residual,3674827978,1000,true,,,oracle,ok,2,4,4,0.6822670343382682,1.732455532033676,6.459130764246133,4.25500409258092,1.6194687455423606,1.5529047053567644,1.5329713463660644,1.482104837984484,1.4557463674771782,1.4333526626207493
paired_T_true_residual,3674827978,1000,true,,,mp_fixed_k,ok,2,2,4,0.8562660859235794,1.732455532033676,6.459130764246133,4.25500409258092,1.6194687455423606,1.5529047053567644,1.5329713463660644,1.482104837984484,1.4557463674771782,1.4333526626207493
paired_T_true_residual,3674827978,1000,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.732455532033676,6.459130764246133,4.25500409258092,1.6194687455423606,1.5529047053567644,1.5329713463660644,1.482104837984484,1.4557463674771782,1.4333526626207493
paired_T_true_residual,3674827978,1500,true,,,oracle,ok,2,4,4,0.97305763367046,1.5830644461609886,6.612079464228235,4.34218424849753,1.5454661625664436,1.451509202020751,1.4066629574284637,1.3984942633338395,1.3840774017204753,1.3513266136659203
paired_T_true_residual,3674827978,1500,true,,,mp_fixed_k,ok,2,2,4,0.8762850525684389,1.5830644461609886,6.612079464228235,4.34218424849753,1.5454661625664436,1.451509202020751,1.4066629574284637,1.3984942633338395,1.3840774017204753,1.3513266136659203
paired_T_true_residual,3674827978,1500,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.5830644461609886,6.612079464228235,4.34218424849753,1.5454661625664436,1.451509202020751,1.4066629574284637,1.3984942633338395,1.3840774017204753,1.3513266136659203
paired_T_true_residual,3674827978,3000,true,,,oracle,ok,2,4,4,1.0,1.3984817050034442,6.956048403476048,4.052870091282973,1.3563431818695153,1.3261262540891516,1.2814903824673558,1.2635297101529521,1.251348098936797,1.2310006474425808
paired_T_true_residual,3674827978,3000,true,,,mp_fixed_k,ok,2,2,4,0.9472,1.3984817050034442,6.956048403476048,4.052870091282973,1.3563431818695153,1.3261262540891516,1.2814903824673558,1.2635297101529521,1.251348098936797,1.2310006474425808
paired_T_true_residual,3674827978,3000,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.3984817050034442,6.956048403476048,4.052870091282973,1.3563431818695153,1.3261262540891516,1.2814903824673558,1.2635297101529521,1.251348098936797,1.2310006474425808
manual_r_sweep,3674827978,1500,estimated,3,,oracle,ok,4,4,4,0.0012461253290549697,1.5830644461609886,19.156396409391192,11.368195826400596,4.672845905766816,2.971703641735978,1.2373490207103681,1.1855029011336646,1.149827520523473,1.1262280075594324
manual_r_sweep,3674827978,1500,estimated,3,,mp_fixed_k,ok,4,4,4,0.0012461253290549697,1.5830644461609886,19.156396409391192,11.368195826400596,4.672845905766816,2.971703641735978,1.2373490207103681,1.1855029011336646,1.149827520523473,1.1262280075594324
manual_r_sweep,3674827978,1500,estimated,3,,full_pipeline,ok,4,4,4,0.0012461253290549697,1.5830644461609886,19.156396409391192,11.368195826400596,4.672845905766816,2.971703641735978,1.2373490207103681,1.1855029011336646,1.149827520523473,1.1262280075594324
manual_r_sweep,3674827978,1500,estimated,5,,oracle,ok,3,4,4,0.6922348012567952,1.5830644461609886,6.594344448331289,4.266234869675542,1.5882063107568691,1.5046494000036423,1.4778814162215295,1.4449210863765356,1.4321933657806187,1.3999846310022768
manual_r_sweep,3674827978,1500,estimated,5,,mp_fixed_k,ok,3,3,4,0.7285546415981199,1.5830644461609886,6.594344448331289,4.266234869675542,1.5882063107568691,1.5046494000036423,1.4778814162215295,1.4449210863765356,1.4321933657806187,1.3999846310022768
manual_r_sweep,3674827978,1500,estimated,5,,full_pipeline,ok,3,3,3,0.7079646017699115,1.5830644461609886,6.594344448331289,4.266234869675542,1.5882063107568691,1.5046494000036423,1.4778814162215295,1.4449210863765356,1.4321933657806187,1.3999846310022768
