replication,branch,r_used,split,sse,den,ARI,d_hat,pr_d_hat_eq_K_true,n_origins,MSPE
0,primary_fixed_K,1,eval,54275.33630902426,25000,-0.0038801598399155067,5.912,0.0,250,2.1710134523609703
0,primary_fixed_K,1,tune,55010.04145359309,24900,-0.007283437924796238,5.349397590361446,0.0,249,2.2092386125941
0,primary_fixed_K,2,eval,52141.87724866546,25000,0.013273395695101116,5.0,0.0,250,2.0856750899466183
0,primary_fixed_K,2,tune,52484.59666400931,24900,0.035340998085470074,5.0,0.0,249,2.107815127068647
0,primary_fixed_K,3,eval,50814.45671452886,25000,0.011753915114399736,4.0,1.0,250,2.032578268581154
0,primary_fixed_K,3,tune,51405.23926216871,24900,0.01763483981337283,4.0,1.0,249,2.064467440247739
0,primary_fixed_K,4,eval,48620.75066299755,25000,0.1308901461759425,3.0,0.0,250,1.9448300265199019
0,primary_fixed_K,4,tune,49825.155671196095,24900,0.13966641604387786,3.0,0.0,249,2.001010267919522
0,primary_fixed_K,5,eval,47106.1560603822,25000,0.6784076141677903,2.0,0.0,250,1.884246242415288
0,primary_fixed_K,5,tune,48349.66700564531,24900,0.6667068382268323,2.0,0.0,249,1.9417536950058356
0,primary_fixed_K,6,eval,47272.033366959666,25000,0.39086348196819254,2.056,0.0,250,1.8908813346783866
0,primary_fixed_K,6,tune,48623.4706875177,24900,0.35446785300110917,1.6506024096385543,0.0,249,1.9527498268079397
0,primary_fixed_K,7,eval,47350.981751006075,25000,0.076053324089975,2.168,0.0,250,1.894039270040243
0,primary_fixed_K,7,tune,48613.70044721455,24900,0.015986876782497293,2.289156626506024,0.0,249,1.952357447679299
0,primary_fixed_K,8,eval,47405.76147364614,25000,4.0278310028375784e-05,2.596,0.0,250,1.8962304589458456
0,primary_fixed_K,8,tune,48490.871652813534,24900,0.04997843198423663,1.9839357429718876,0.0,249,1.9474245643700214
0,primary_fixed_K,9,eval,47426.17891133205,25000,0.0023570310316119443,2.296,0.0,250,1.897047156453282
0,primary_fixed_K,9,tune,48569.76844453794,24900,0.031903724630596424,2.0843373493975905,0.0,249,1.9505931102224072
0,robustness_K_equals_d_hat,1,eval,55616.401728174686,25000,0.0034903173097999536,5.912,0.0,250,2.224656069126987
0,robustness_K_equals_d_hat,1,tune,55164.77159163255,24900,-0.006862807949186533,5.349397590361446,0.0,249,2.2154526743627527
0,robustness_K_equals_d_hat,2,eval,52416.88281814771,25000,0.010841925450094604,5.0,0.0,250,2.096675312725908
0,robustness_K_equals_d_hat,2,tune,52736.504340966196,24900,0.02155384589723741,5.0,0.0,249,2.1179319012436224
0,robustness_K_equals_d_hat,3,eval,50814.45671452886,25000,0.011753915114399736,4.0,1.0,250,2.032578268581154
0,robustness_K_equals_d_hat,3,tune,51405.23926216871,24900,0.01763483981337283,4.0,1.0,249,2.064467440247739
0,robustness_K_equals_d_hat,4,eval,48695.21872611974,25000,0.13847362742592562,3.0,0.0,250,1.9478087490447895
0,robustness_K_equals_d_hat,4,tune,49938.55321978481,24900,0.14151957855053984,3.0,0.0,249,2.005564386336739
0,robustness_K_equals_d_hat,5,eval,47749.11528367287,25000,0.3265306122448979,2.0,0.0,250,1.9099646113469149
0,robustness_K_equals_d_hat,5,tune,49116.54070482318,24900,0.3263442822497123,2.0,0.0,249,1.9725518355350675
0,robustness_K_equals_d_hat,6,eval,47835.45174789022,25000,0.3123569719305935,2.056,0.0,250,1.9134180699156087
0,robustness_K_equals_d_hat,6,tune,49479.396620175365,24900,0.20071201249844933,1.6506024096385543,0.0,249,1.9871243622560388
0,robustness_K_equals_d_hat,7,eval,47676.106482255615,25000,0.08553354170352853,2.168,0.0,250,1.9070442592902246
0,robustness_K_equals_d_hat,7,tune,49055.73611230968,24900,0.012494696497364864,2.289156626506024,0.0,249,1.9701098840285012
0,robustness_K_equals_d_hat,8,eval,47855.56465743719,25000,0.0003447577758974015,2.596,0.0,250,1.9142225862974878
0,robustness_K_equals_d_hat,8,tune,49061.98342091353,24900,0.025010288716386934,1.9839357429718876,0.0,249,1.9703607799563667
0,robustness_K_equals_d_hat,9,eval,47965.5869999691,25000,0.000829939808456026,2.296,0.0,250,1.918623479998764
0,robustness_K_equals_d_hat,9,tune,49122.24140561583,24900,0.02434188966277335,2.0843373493975905,0.0,249,1.9727807793420011
1,primary_fixed_K,1,eval,52769.452038036965,25000,0.005889072622492957,5.96,0.0,250,2.1107780815214787
1,primary_fixed_K,1,tune,53329.548908911274,24900,0.014795953896607027,5.232931726907631,0.0,249,2.1417489521651114
1,primary_fixed_K,2,eval,51271.544713098294,25000,0.038614240189939406,5.0,0.0,250,2.0508617885239318
1,primary_fixed_K,2,tune,51740.506410982365,24900,0.033255047722204306,5.0,0.0,249,2.077931984376802
1,primary_fixed_K,3,eval,49832.17017978808,25000,0.05056950194561117,4.0,1.0,250,1.9932868071915233
1,primary_fixed_K,3,tune,50059.38856070119,24900,0.019787807640567458,4.0,1.0,249,2.01041721127314
1,primary_fixed_K,4,eval,47721.19198442058,25000,0.19826168857113538,3.0,0.0,250,1.908847679376823
1,primary_fixed_K,4,tune,48435.857230515074,24900,0.2004432102134393,3.0,0.0,249,1.9452151498198824
1,primary_fixed_K,5,eval,46498.864058068815,25000,0.7564204835463184,2.0,0.0,250,1.8599545623227527
1,primary_fixed_K,5,tune,47281.465793528914,24900,0.7504265251854485,2.0,0.0,249,1.8988540479328881
1,primary_fixed_K,6,eval,48051.377398600176,25000,0.39263837834210097,1.376,0.0,250,1.922055095944007
1,primary_fixed_K,6,tune,48367.39639221649,24900,0.3879705862251055,1.285140562248996,0.0,249,1.9424657185629113
1,primary_fixed_K,7,eval,46915.07237974799,25000,0.004003225508475669,2.04,0.0,250,1.8766028951899194
1,primary_fixed_K,7,tune,47579.577877302654,24900,0.0050423427578629556,2.4417670682730925,0.0,249,1.910826420775207
1,primary_fixed_K,8,eval,46769.12670772874,25000,0.01490218343648374,2.216,0.0,250,1.8707650683091497
1,primary_fixed_K,8,tune,47649.97588246649,24900,0.003951495287080582,2.357429718875502,0.0,249,1.9136536498982526
1,primary_fixed_K,9,eval,46818.10028560698,25000,0.007253297211176554,2.42,0.0,250,1.8727240114242794
1,primary_fixed_K,9,tune,47751.460455594,24900,-0.0030757985091821602,2.5060240963855422,0.0,249,1.917729335566024
1,robustness_K_equals_d_hat,1,eval,52989.05422536175,25000,0.017152636245915197,5.96,0.0,250,2.11956216901447
1,robustness_K_equals_d_hat,1,tune,53538.484112713646,24900,0.010906395759262237,5.232931726907631,0.0,249,2.150139924205367
1,robustness_K_equals_d_hat,2,eval,51539.99974133141,25000,0.03940248866851139,5.0,0.0,250,2.0615999896532564
1,robustness_K_equals_d_hat,2,tune,51834.09341670579,24900,0.024988783323282276,5.0,0.0,249,2.0816904986628835
1,robustness_K_equals_d_hat,3,eval,49832.17017978808,25000,0.05056950194561117,4.0,1.0,250,1.9932868071915233
1,robustness_K_equals_d_hat,3,tune,50059.38856070119,24900,0.019787807640567458,4.0,1.0,249,2.01041721127314
1,robustness_K_equals_d_hat,4,eval,47667.20177107859,25000,0.15086537286131393,3.0,0.0,250,1.9066880708431435
1,robustness_K_equals_d_hat,4,tune,48365.17968773885,24900,0.1294434177910274,3.0,0.0,249,1.9423766942867007
1,robustness_K_equals_d_hat,5,eval,47220.35106562039,25000,0.32530111377166576,2.0,0.0,250,1.8888140426248154
1,robustness_K_equals_d_hat,5,tune,48061.11724385169,24900,0.3265306122448979,2.0,0.0,249,1.9301653511587022
1,robustness_K_equals_d_hat,6,eval,49127.949819953865,25000,0.13610822620241703,1.376,0.0,250,1.9651179927981546
1,robustness_K_equals_d_hat,6,tune,49596.04024007049,24900,0.12407887156513417,1.285140562248996,0.0,249,1.9918088449827507
1,robustness_K_equals_d_hat,7,eval,47384.35504056799,25000,0.003932837490258907,2.04,0.0,250,1.8953742016227197
1,robustness_K_equals_d_hat,7,tune,47844.297748703226,24900,0.0018520483836306316,2.4417670682730925,0.0,249,1.9214577409117761
1,robustness_K_equals_d_hat,8,eval,47165.528274174634,25000,0.005279017680982501,2.216,0.0,250,1.8866211309669854
1,robustness_K_equals_d_hat,8,tune,48019.32993182631,24900,0.003957675269664402,2.357429718875502,0.0,249,1.9284871458564783
1,robustness_K_equals_d_hat,9,eval,47160.728080617715,25000,0.003909132175684458,2.42,0.0,250,1.8864291232247086
1,robustness_K_equals_d_hat,9,tune,48001.98843530283,24900,0.00033594787189489977,2.5060240963855422,0.0,249,1.927790700212965
2,primary_fixed_K,1,eval,56237.78666261064,25000,0.013221803542942216,5.196,0.0,250,2.249511466504426
2,primary_fixed_K,1,tune,52585.89748634325,24900,0.01858869137395625,6.0,0.0,249,2.111883433186476
2,primary_fixed_K,2,eval,54090.57220274873,25000,0.02466152721628123,5.0,0.0,250,2.1636228881099493
2,primary_fixed_K,2,tune,51067.32005748138,24900,0.016676523779236396,5.0,0.0,249,2.050896387850658
2,primary_fixed_K,3,eval,52082.624039880604,25000,0.10932744955429732,4.0,1.0,250,2.083304961595224
2,primary_fixed_K,3,tune,49850.24320014749,24900,0.06593080323620969,4.0,1.0,249,2.00201779920271
2,primary_fixed_K,4,eval,50349.962034430675,25000,0.02939816325543743,3.0,0.0,250,2.013998481377227
2,primary_fixed_K,4,tune,49153.01380322145,24900,0.027982117405806233,3.0,0.0,249,1.9740166186032713
2,primary_fixed_K,5,eval,49717.382738972665,25000,0.5716213482576373,2.068,0.0,250,1.9886953095589066
2,primary_fixed_K,5,tune,48039.00044998065,24900,0.6119808124735779,2.0,0.0,249,1.929277126505247
2,primary_fixed_K,6,eval,50591.86794715342,25000,0.2409773819926156,1.968,0.0,250,2.023674717886137
