branch,epsilon,n_worlds,n_in_set__mean,n_in_set__ci_low,n_in_set__ci_high,ARI_eval_range__mean,ARI_eval_range__ci_low,ARI_eval_range__ci_high,MSPE_eval_range__mean,MSPE_eval_range__ci_low,MSPE_eval_range__ci_high,r_min_overall,r_max_overall,pr_r_true_in_set,pr_r_true_in_set_wilson_low,pr_r_true_in_set_wilson_high,pr_structure_oracle_in_set
primary_fixed_K,0.001,20,1.25,0.9925360999709513,1.5074639000290486,0.06617252331397709,-0.02496533240688295,0.15731037903483713,0.00029419473319039,-0.0001160761349161149,0.0007044656012968949,5,9,0.75,0.531299122381256,0.8881382985923343,0.75
primary_fixed_K,0.005,20,3.1,2.5546287067217843,3.645371293278216,0.4480523132926882,0.31153889586498074,0.5845657307203956,0.00903633631300794,0.0060485406954530665,0.012024131930562813,5,9,0.85,0.6395811352592431,0.9476312541037835,0.85
primary_fixed_K,0.01,20,4.6,4.247146606121585,4.9528533938784145,0.6091390047792468,0.5466250811376727,0.6716529284208208,0.01614771780573972,0.011319484691344205,0.020975950920135236,4,9,0.95,0.763868806553258,0.9911185511992047,0.95
primary_fixed_K,0.02,20,5.55,5.228786389542626,5.8712136104573736,0.6331232579910603,0.6081632601854376,0.6580832557966829,0.023741918183710912,0.018416592932578114,0.02906724343484371,4,9,1.0,0.8388748419471808,1.0,1.0
robustness_K_equals_d_hat,0.001,20,1.2,1.0079309402196868,1.3920690597803131,0.011087272608923355,-0.0032494184477215825,0.025423963665568292,0.000687382916192635,-0.00012961908298477387,0.001504384915370044,4,9,0.15,0.052368745896216595,0.3604188647407569,0.25
robustness_K_equals_d_hat,0.005,20,3.0,2.411911010202642,3.588088989797358,0.21959743028529774,0.14338167704598048,0.295813183524615,0.009224588064535438,0.006454831786807971,0.011994344342262906,4,9,0.65,0.4328542766852363,0.8188081758989179,0.75
robustness_K_equals_d_hat,0.01,20,4.35,3.818004241838417,4.881995758161582,0.3004135629683994,0.2517708542106002,0.3490562717261986,0.014418831847038313,0.011451591615531422,0.017386072078545204,4,9,0.9,0.6989663547715128,0.9721335187862319,0.9
robustness_K_equals_d_hat,0.02,20,5.6,5.320013637983207,5.879986362016792,0.33162035173619625,0.3118730257964765,0.351367677675916,0.02473458204252685,0.02047592580140261,0.028993238283651093,4,9,1.0,0.8388748419471808,1.0,1.0
