replication,branch,epsilon,n_in_set,r_min,r_max,r_values,MSPE_eval_min,MSPE_eval_max,MSPE_eval_range,ARI_eval_min,ARI_eval_max,ARI_eval_range,r_true_in_set,structure_oracle_in_set
17,robustness_K_equals_d_hat,0.005,4,4,9,4|5|8|9,1.8761587138735285,1.8893704862868972,0.013211772413368683,0.008766976621603749,0.3265306122448979,0.3177636356232941,1,1
18,robustness_K_equals_d_hat,0.005,2,5,7,5|7,1.9348001493751814,1.9403178174304034,0.005517668055222025,0.006309355857683229,0.3265306122448979,0.32022125638721466,1,1
19,robustness_K_equals_d_hat,0.005,3,7,9,7|8|9,1.869954101211467,1.8777409259722202,0.007786824760753097,-0.0012172723025134153,0.001381966050498616,0.0025992383530120313,0,0
0,robustness_K_equals_d_hat,0.01,5,5,9,5|6|7|8|9,1.9070442592902246,1.918623479998764,0.01157922070853945,0.0003447577758974015,0.3265306122448979,0.3261858544690005,1,1
1,robustness_K_equals_d_hat,0.01,4,5,9,5|7|8|9,1.8864291232247086,1.8953742016227197,0.008945078398011175,0.003909132175684458,0.32530111377166576,0.3213919815959813,1,1
2,robustness_K_equals_d_hat,0.01,4,5,9,5|7|8|9,2.003974297857589,2.016629563924292,0.012655266066702975,0.006427357265359131,0.3320715519532694,0.3256441946879102,1,1
3,robustness_K_equals_d_hat,0.01,6,4,9,4|5|6|7|8|9,1.904994298823504,1.920240915486405,0.015246616662901058,0.0024031798034249378,0.34027278483498086,0.33786960503155594,1,1
4,robustness_K_equals_d_hat,0.01,2,7,8,7|8,1.9187904373509903,1.9213340491762358,0.0025436118252455397,0.014135332959950453,0.04458431914091515,0.0304489861809647,0,0
5,robustness_K_equals_d_hat,0.01,5,4,9,4|5|7|8|9,1.9423494004734998,1.9619063300828359,0.019556929609336082,0.004946948392969598,0.3257716143097548,0.3208246659167852,1,1
6,robustness_K_equals_d_hat,0.01,4,5,9,5|7|8|9,1.915711008618146,1.9307405031063751,0.015029494488229211,-0.004569198841976338,0.27806783250817557,0.2826370313501519,1,1
7,robustness_K_equals_d_hat,0.01,6,4,9,4|5|6|7|8|9,1.8877525551072685,1.9181406739465072,0.030388118839238754,0.0027110471621080256,0.3160992582739431,0.31338821111183507,1,1
8,robustness_K_equals_d_hat,0.01,5,4,9,4|5|7|8|9,1.899455055952135,1.9251757292986842,0.02572067334654915,0.011625372067778651,0.3077213313228842,0.29609595925510557,1,1
9,robustness_K_equals_d_hat,0.01,4,5,9,5|7|8|9,1.912569424998636,1.9225197779944938,0.00995035299585778,0.0019733377415929055,0.3265306122448979,0.32455727450330496,1,0
10,robustness_K_equals_d_hat,0.01,5,4,9,4|5|7|8|9,1.951804809791317,1.9671574406806318,0.015352630889314822,0.01795304602103035,0.3336396309830746,0.3156865849620442,1,1
11,robustness_K_equals_d_hat,0.01,5,4,9,4|5|7|8|9,1.9522856961230348,1.9622403002140436,0.00995460409100879,0.004003496989188828,0.33225694621353674,0.3282534492243479,1,1
12,robustness_K_equals_d_hat,0.01,6,4,9,4|5|6|7|8|9,1.8882675408057892,1.9066035837609403,0.01833604295515112,-0.004395974482410921,0.29405253687345434,0.29844851135586525,1,1
13,robustness_K_equals_d_hat,0.01,4,4,9,4|7|8|9,1.9526179734943356,1.9717233938642347,0.01910542036989904,-0.0009794884632415228,0.47418467358914196,0.4751641620523835,0,1
14,robustness_K_equals_d_hat,0.01,3,5,9,5|8|9,1.932562885709487,1.9512752426686517,0.018712356959164733,-0.00022831249437051717,0.3180301554964522,0.3182584679908227,1,1
15,robustness_K_equals_d_hat,0.01,5,4,9,4|5|7|8|9,1.9409157634635785,1.9528588402230362,0.011943076759457716,-0.0013726179050455576,0.4123974901207621,0.41377010802580766,1,1
16,robustness_K_equals_d_hat,0.01,2,4,5,4|5,1.8977555372029409,1.9078633696659644,0.010107832463023492,0.32622903714769,0.34097971738884314,0.014750680241153113,1,1
17,robustness_K_equals_d_hat,0.01,4,4,9,4|5|8|9,1.8761587138735285,1.8893704862868972,0.013211772413368683,0.008766976621603749,0.3265306122448979,0.3177636356232941,1,1
18,robustness_K_equals_d_hat,0.01,4,5,9,5|7|8|9,1.9311542657476803,1.943404978086695,0.012250712339014758,0.006309355857683229,0.3265306122448979,0.32022125638721466,1,1
19,robustness_K_equals_d_hat,0.01,4,5,9,5|7|8|9,1.869954101211467,1.8777409259722202,0.007786824760753097,-0.0012172723025134153,0.32569336709994623,0.3269106394024596,1,1
0,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9070442592902246,1.9478087490447895,0.040764489754564925,0.0003447577758974015,0.3265306122448979,0.3261858544690005,1,1
1,robustness_K_equals_d_hat,0.02,5,4,9,4|5|7|8|9,1.8864291232247086,1.9066880708431435,0.02025894761843494,0.003909132175684458,0.32530111377166576,0.3213919815959813,1,1
2,robustness_K_equals_d_hat,0.02,5,4,9,4|5|7|8|9,2.003974297857589,2.016629563924292,0.012655266066702975,-0.009251395016393106,0.3320715519532694,0.3413229469696625,1,1
3,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.904994298823504,1.920240915486405,0.015246616662901058,0.0024031798034249378,0.34027278483498086,0.33786960503155594,1,1
4,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9187904373509903,1.943880140148166,0.025089702797175706,0.005584512163458707,0.3247506199117279,0.31916610774826915,1,1
5,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9423494004734998,1.9750013265107518,0.03265192603725198,0.004946948392969598,0.3257716143097548,0.3208246659167852,1,1
6,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.915711008618146,1.9397419848453499,0.02403097622720396,-0.004569198841976338,0.27806783250817557,0.2826370313501519,1,1
7,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.8877525551072685,1.9181406739465072,0.030388118839238754,0.0027110471621080256,0.3160992582739431,0.31338821111183507,1,1
8,robustness_K_equals_d_hat,0.02,5,4,9,4|5|7|8|9,1.899455055952135,1.9251757292986842,0.02572067334654915,0.011625372067778651,0.3077213313228842,0.29609595925510557,1,1
9,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.912569424998636,1.938380352246829,0.025810927248193005,0.0019733377415929055,0.32686770233152684,0.3248943645899339,1,1
10,robustness_K_equals_d_hat,0.02,5,4,9,4|5|7|8|9,1.951804809791317,1.9671574406806318,0.015352630889314822,0.01795304602103035,0.3336396309830746,0.3156865849620442,1,1
11,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9522856961230348,1.9939798427886692,0.041694146665634424,0.004003496989188828,0.33225694621353674,0.3282534492243479,1,1
12,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.8882675408057892,1.9066035837609403,0.01833604295515112,-0.004395974482410921,0.29405253687345434,0.29844851135586525,1,1
13,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9526179734943356,1.972570195857684,0.01995222236334837,-0.0009794884632415228,0.47418467358914196,0.4751641620523835,1,1
14,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9298239829150305,1.9512752426686517,0.021451259753621166,-0.00022831249437051717,0.3180301554964522,0.3182584679908227,1,1
15,robustness_K_equals_d_hat,0.02,6,4,9,4|5|6|7|8|9,1.9409157634635785,1.9695364548483905,0.028620691384811936,-0.0013726179050455576,0.4123974901207621,0.41377010802580766,1,1
