branch,T_window,n_worlds,mean_d_hat_mean,mean_d_hat_sd,mean_d_hat_mcse,mean_d_hat_ci_low,mean_d_hat_ci_high,Pr_dhat_ge_1_mean,Pr_dhat_ge_1_sd,Pr_dhat_ge_1_mcse,Pr_dhat_ge_1_ci_low,Pr_dhat_ge_1_ci_high,Pr_dhat_ge_2_mean,Pr_dhat_ge_2_sd,Pr_dhat_ge_2_mcse,Pr_dhat_ge_2_ci_low,Pr_dhat_ge_2_ci_high,Pr_dhat_ge_3_mean,Pr_dhat_ge_3_sd,Pr_dhat_ge_3_mcse,Pr_dhat_ge_3_ci_low,Pr_dhat_ge_3_ci_high,Pr_dhat_ge_4_mean,Pr_dhat_ge_4_sd,Pr_dhat_ge_4_mcse,Pr_dhat_ge_4_ci_low,Pr_dhat_ge_4_ci_high,Pr_dhat_ge_5_mean,Pr_dhat_ge_5_sd,Pr_dhat_ge_5_mcse,Pr_dhat_ge_5_ci_low,Pr_dhat_ge_5_ci_high,Pr_dhat_ge_6_mean,Pr_dhat_ge_6_sd,Pr_dhat_ge_6_mcse,Pr_dhat_ge_6_ci_low,Pr_dhat_ge_6_ci_high
var_burnin_500,3000,20,2.4329999999999994,0.2229255245001886,0.04984766267022165,2.3286676429751965,2.5373323570248023,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.42299999999999993,0.20767129898243675,0.04643671415004114,0.32580684027628326,0.5201931597237166,0.01,0.022004784168807235,0.004920419323166419,-0.000298556001162539,0.020298556001162538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_stationary_start,200,20,1.988,0.015078740698501052,0.0033717089216941014,1.9809429321224312,1.9950570678775688,1.0,0.0,0.0,1.0,1.0,0.9880000000000001,0.01507874069850105,0.003371708921694101,0.9809429321224314,0.9950570678775688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_stationary_start,500,20,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_stationary_start,1000,20,2.003,0.007326950970650471,0.0016383560438182519,1.9995708813906035,2.0064291186093968,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.003,0.007326950970650464,0.0016383560438182503,-0.0004291186093967562,0.006429118609396756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_stationary_start,1500,20,2.024,0.02945111918166495,0.00658547045036508,2.010216451937791,2.037783548062209,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.024,0.029451119181664924,0.006585470450365075,0.010216451937791082,0.03778354806220892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_stationary_start,3000,20,2.401,0.2458476207563924,0.054973199211788164,2.28593977170195,2.5160602282980498,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.39299999999999996,0.2326302691080057,0.052017709534957005,0.2841256826881129,0.501874317311887,0.008,0.027067167915158178,0.006052402741669494,-0.004667824525280771,0.02066782452528077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_zero_start,200,20,1.9849999999999999,0.014327007988227591,0.00320361637758594,1.9782947538606162,1.9917052461393836,1.0,0.0,0.0,1.0,1.0,0.985,0.01432700798822759,0.0032036163775859394,0.9782947538606164,0.9917052461393836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_zero_start,500,20,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_zero_start,1000,20,2.003,0.007326950970650471,0.0016383560438182519,1.9995708813906035,2.0064291186093968,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.003,0.007326950970650464,0.0016383560438182503,-0.0004291186093967562,0.006429118609396756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_zero_start,1500,20,2.024,0.02945111918166495,0.00658547045036508,2.010216451937791,2.037783548062209,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.024,0.029451119181664924,0.006585470450365075,0.010216451937791082,0.03778354806220892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_zero_start,3000,20,2.403,0.24685602025642822,0.055198684194843854,2.2874678262085064,2.5185321737914936,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.395,0.23376776600090235,0.05227206157262818,0.2855933177549794,0.5044066822450206,0.008,0.027067167915158178,0.006052402741669494,-0.004667824525280771,0.02066782452528077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
