quantity,n_worlds,mean,sd,mcse,ci_low,ci_high
theta_1,20,5.666572229230704,1.0558409934083246,0.2360932234691921,5.1724234334269,6.160721025034508
theta_2,20,4.081539652021849,0.4055552135710882,0.09068490261743985,3.891733969471877,4.271345334571822
theta_3,20,1.2760899751326948,0.024236552756402605,0.005419457950357612,1.2647469192807423,1.2874330309846473
theta_4,20,1.209163622589728,0.02012629280228089,0.004500375884096481,1.199744227610435,1.2185830175690209
theta_5,20,1.018763167780034,0.0024802951246059163,0.000554610850288014,1.0176023539295453,1.0199239816305226
theta_6,20,1.0154683245536174,0.002430472465908203,0.0005434701651212282,1.0143308284251653,1.0166058206820694
theta_7,20,1.0123278979386148,0.0024313263675351604,0.0005436611033296256,1.0111900021718998,1.0134657937053297
theta_8,20,1.009407492577553,0.0017811982898987885,0.00039828804576200677,1.0085738661171897,1.0102411190379161
theta_2_minus_theta_3,20,2.805449676889155,0.39633300644392455,0.08862275441354775,2.6199601201336833,2.9909392336446263
theta_4_minus_theta_5,20,0.19040045480969356,0.020096105189736882,0.004493625728723798,0.1809951880679668,0.19980572155142032
theta_3_over_theta_2,20,0.3155790197349359,0.03158312490062575,0.0070622014219665465,0.3007976622816837,0.3303603771881881
theta_4_over_theta_2,20,0.29913216349378413,0.031037414428674897,0.006940176850834987,0.2846062064031391,0.31365812058442916
