T_window,mp_edge,d_hat,corr_finite,corr_symmetric,leading_eigenvalues,lambda_1_minus_edge,indicator_dhat_ge_1,lambda_2_minus_edge,indicator_dhat_ge_2,lambda_3_minus_edge,indicator_dhat_ge_3,lambda_4_minus_edge,indicator_dhat_ge_4,lambda_5_minus_edge,indicator_dhat_ge_5,lambda_6_minus_edge,indicator_dhat_ge_6,run_id,world_index,structural_seed,branch,path
200,2.914213562373095,2,True,True,"[6.984497186214456, 5.156781479409091, 2.424661351577015, 2.3529900769880974, 2.231958430431715, 2.205770650252265, 2.1973204012440437, 2.0767011407712093]",4.070283623841361,1,2.242567917035996,1,-0.4895522107960799,0,-0.5612234853849976,0,-0.6822551319413801,0,-0.7084429121208298,0,formal_20260818,0,3674827978,iid_marginal,4.0
500,2.0944271909999155,2,True,True,"[6.16742699551118, 4.698598862431235, 1.8741486481447833, 1.8194072231218377, 1.8090779394312508, 1.7138289708085672, 1.7041656779388241, 1.6550251526388982]",4.072999804511264,1,2.60417167143132,1,-0.22027854285513215,0,-0.2750199678780778,0,-0.28534925156866464,0,-0.38059822019134826,0,formal_20260818,0,3674827978,iid_marginal,4.0
1000,1.732455532033676,2,True,True,"[5.949496454058072, 4.556922602175628, 1.6055013883477784, 1.534773069151592, 1.4912369047064504, 1.4726370097748063, 1.4517994490726236, 1.4454335819551551]",4.217040922024395,1,2.8244670701419516,1,-0.12695414368589764,0,-0.19768246288208413,0,-0.24121862732722565,0,-0.2598185222588698,0,formal_20260818,0,3674827978,iid_marginal,4.0
1500,1.5830644461609886,2,True,True,"[6.023023068737905, 4.620527600543169, 1.4522348085776275, 1.4381739871975123, 1.4118504381889414, 1.3997944489343048, 1.3622467666741593, 1.353634429317716]",4.439958622576917,1,3.0374631543821806,1,-0.13082963758336108,0,-0.1448904589634763,0,-0.17121400797204722,0,-0.1832699972266838,0,formal_20260818,0,3674827978,iid_marginal,4.0
3000,1.3984817050034442,3,True,True,"[6.251178137583779, 4.6196429157786465, 1.4153731789620208, 1.330426260396477, 1.2649893524415783, 1.2511807956934597, 1.2441087781911961, 1.2201139093957003]",4.852696432580335,1,3.221161210775202,1,0.016891473958576597,1,-0.06805544460696722,0,-0.13349235256186587,0,-0.1473009093099844,0,formal_20260818,0,3674827978,iid_marginal,4.0
200,2.914213562373095,2,True,True,"[7.620988385359167, 4.177811517784123, 2.500853841354861, 2.373368015495036, 2.3615928151325214, 2.312365877892932, 2.2601299330072977, 2.1541720595329403]",4.706774822986072,1,1.2635979554110284,1,-0.4133597210182338,0,-0.5408455468780589,0,-0.5526207472405735,0,-0.601847684480163,0,formal_20260818,0,3674827978,iid_marginal,5.0
500,2.0944271909999155,2,True,True,"[6.492128669881853, 4.380439239160103, 1.9172232818014616, 1.8374798146765667, 1.8213887871704628, 1.7545952602101147, 1.705538960787753, 1.6789521890825523]",4.397701478881938,1,2.2860120481601878,1,-0.17720390919845386,0,-0.25694737632334874,0,-0.27303840382945266,0,-0.3398319307898008,0,formal_20260818,0,3674827978,iid_marginal,5.0
1000,1.732455532033676,2,True,True,"[6.485727764584146, 4.479766429419243, 1.640268182535914, 1.5906400689710933, 1.522018704594481, 1.4996123985265075, 1.4885572392882984, 1.4642437361135774]",4.75327223255047,1,2.747310897385567,1,-0.09218734949776208,0,-0.14181546306258275,0,-0.210436827439195,0,-0.23284313350716856,0,formal_20260818,0,3674827978,iid_marginal,5.0
1500,1.5830644461609886,2,True,True,"[6.448743118408046, 4.468154934209287, 1.5181227703494373, 1.4663322707010138, 1.4354910347141379, 1.4093384567119709, 1.3876936623364349, 1.3549048995352955]",4.865678672247058,1,2.8850904880482986,1,-0.0649416758115513,0,-0.11673217545997483,0,-0.14757341144685077,0,-0.17372598944901774,0,formal_20260818,0,3674827978,iid_marginal,5.0
3000,1.3984817050034442,3,True,True,"[6.479282113670624, 4.509121388412187, 1.4166739656883967, 1.3314827773025617, 1.2721063346151247, 1.2492487483688193, 1.244628080383576, 1.22003506438153]",5.080800408667179,1,3.110639683408743,1,0.0181922606849525,1,-0.06699892770088245,0,-0.12637537038831947,0,-0.14923295663462488,0,formal_20260818,0,3674827978,iid_marginal,5.0
