family,test,metric,branch_a,branch_b,T_window,mean,sd,se,t_stat,p_value,ci_low,ci_high,n,deltas,p_holm,holm_significant
I,j3_T200,Pr_dhat_ge_3,var_zero_start,var_stationary_start,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j3_T500,Pr_dhat_ge_3,var_zero_start,var_stationary_start,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j3_T1000,Pr_dhat_ge_3,var_zero_start,var_stationary_start,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j3_T1500,Pr_dhat_ge_3,var_zero_start,var_stationary_start,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j3_T3000,Pr_dhat_ge_3,var_zero_start,var_stationary_start,3000.0,0.0019999999999999935,0.006155870112510904,0.001376494403223366,1.452966314513558,0.16254999902972697,-0.0008810358967048584,0.0048810358967048455,20,"{""0"": 0.0, ""1"": 0.019999999999999962, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.019999999999999907, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j4_T200,Pr_dhat_ge_4,var_zero_start,var_stationary_start,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j4_T500,Pr_dhat_ge_4,var_zero_start,var_stationary_start,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j4_T1000,Pr_dhat_ge_4,var_zero_start,var_stationary_start,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j4_T1500,Pr_dhat_ge_4,var_zero_start,var_stationary_start,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
I,j4_T3000,Pr_dhat_ge_4,var_zero_start,var_stationary_start,3000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
