r_used,metric,n_replications_planned,n_replications_valid,coverage_fraction,mean,sd,mcse,ci95_low,ci95_high,n_replications_any_valid_origin,series
3.0,QR_Q_C_capture,20,20,1.0,0.04167880204440245,0.01691717066214959,0.003782794358753161,0.0337613224586522,0.04959628163015269,20,cell
3.0,QR_Q_C_dim_Q,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_C_dim_U,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_C_excess_capture,20,20,1.0,0.011678802044402475,0.016917170662149556,0.0037827943587531534,0.003761322458652244,0.019596281630152708,20,cell
3.0,QR_Q_C_excess_purity,20,20,1.0,0.011678802044402475,0.016917170662149556,0.0037827943587531534,0.003761322458652244,0.019596281630152708,20,cell
3.0,QR_Q_C_expected_random_capture,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_C_expected_random_purity,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_C_full_capture,20,20,1.0,0.03829565279566403,0.011850396560753474,0.0026498292270174485,0.032749496483442456,0.0438418091078856,20,cell
3.0,QR_Q_C_full_dim_Q,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
3.0,QR_Q_C_full_dim_U,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_C_full_excess_capture,20,20,1.0,0.008295652795664049,0.011850396560753443,0.002649829227017441,0.0027494964834424906,0.013841809107885607,20,cell
3.0,QR_Q_C_full_excess_purity,20,20,1.0,0.011060870394218736,0.015800528747671266,0.003533105636023257,0.003665995311256654,0.018455745477180818,20,cell
3.0,QR_Q_C_full_expected_random_capture,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_C_full_expected_random_purity,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,QR_Q_C_full_largest_canonical_correlation,20,20,1.0,0.32919955025332936,0.055782967335889215,0.012473450694969862,0.30309231790728197,0.35530678259937676,20,cell
3.0,QR_Q_C_full_purity,20,20,1.0,0.051060870394218714,0.0158005287476713,0.003533105636023265,0.04366599531125662,0.05845574547718081,20,cell
3.0,QR_Q_C_full_shared_energy,20,20,1.0,0.15318261118265625,0.0474015862430139,0.010599316908069794,0.13099798593376996,0.17536723643154253,20,cell
3.0,QR_Q_C_full_smallest_principal_angle,20,20,1.0,1.2347143411666845,0.05908082542151317,0.01321087418093011,1.2070636637262369,1.2623650186071322,20,cell
3.0,QR_Q_C_largest_canonical_correlation,20,20,1.0,0.30407668802812027,0.06385651975906129,0.014278751898781953,0.274190916837042,0.33396245921919854,20,cell
3.0,QR_Q_C_purity,20,20,1.0,0.04167880204440245,0.01691717066214959,0.003782794358753161,0.0337613224586522,0.04959628163015269,20,cell
3.0,QR_Q_C_shared_energy,20,20,1.0,0.1250364061332075,0.05075151198644877,0.011348383076259483,0.10128396737595675,0.14878884489045824,20,cell
3.0,QR_Q_C_smallest_principal_angle,20,20,1.0,1.2611116107049296,0.0670267219510355,0.01498763065914927,1.2297421392167434,1.2924810821931159,20,cell
3.0,QR_Q_C_unique_capture,20,20,1.0,0.0007920876369600441,0.0005548151258798238,0.00012406043364123886,0.0005324261651486111,0.0010517491087714771,20,cell
3.0,QR_Q_C_unique_dim_Q,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_C_unique_dim_U,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_C_unique_excess_capture,20,20,1.0,-0.029207912363039858,0.0005548151258798255,0.00012406043364123926,-0.029467573834851293,-0.028948250891228423,20,cell
3.0,QR_Q_C_unique_excess_purity,20,20,1.0,-0.029207912363039858,0.0005548151258798255,0.00012406043364123926,-0.029467573834851293,-0.028948250891228423,20,cell
3.0,QR_Q_C_unique_expected_random_capture,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_C_unique_expected_random_purity,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_C_unique_largest_canonical_correlation,20,20,1.0,0.04298493953391779,0.016608829373294196,0.003713847150538105,0.03521176811344595,0.05075811095438963,20,cell
3.0,QR_Q_C_unique_purity,20,20,1.0,0.0007920876369600441,0.0005548151258798238,0.00012406043364123886,0.0005324261651486111,0.0010517491087714771,20,cell
3.0,QR_Q_C_unique_shared_energy,20,20,1.0,0.0023762629108802225,0.0016644453776394768,0.0003721813009237178,0.0015972784954459208,0.003155247326314524,20,cell
3.0,QR_Q_C_unique_smallest_principal_angle,20,20,1.0,1.5277891699646713,0.016631275388356938,0.0037188662320885323,1.5200054934857834,1.5355728464435592,20,cell
3.0,QR_Q_F_capture,20,20,1.0,0.5985639634836889,0.00039783177950819754,8.895789025900375e-05,0.5983777724795474,0.5987501544878304,20,cell
3.0,QR_Q_F_dim_Q,20,20,1.0,5.0,0.0,0.0,5.0,5.0,20,cell
3.0,QR_Q_F_dim_U,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_F_excess_capture,20,20,1.0,0.5685639634836887,0.0003978317795082059,8.895789025900562e-05,0.5683777724795471,0.5687501544878302,20,cell
3.0,QR_Q_F_excess_purity,20,20,1.0,0.9476066058061479,0.0006630529658470175,0.00014826315043167776,0.947296287465912,0.9479169241463837,20,cell
3.0,QR_Q_F_expected_random_capture,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_F_expected_random_purity,20,20,1.0,0.05000000000000001,0.0,0.0,0.05000000000000001,0.05000000000000001,20,cell
3.0,QR_Q_F_largest_canonical_correlation,20,20,1.0,0.9994259408867595,9.834879389873591e-05,2.1991458866269004e-05,0.9993799122343608,0.9994719695391582,20,cell
3.0,QR_Q_F_purity,20,20,1.0,0.997606605806148,0.000663052965847027,0.00014826315043167988,0.9972962874659121,0.9979169241463839,20,cell
3.0,QR_Q_F_shared_energy,20,20,1.0,2.992819817418444,0.0019891588975410796,0.00044478945129503933,2.991888862397736,2.9937507724391517,20,cell
3.0,QR_Q_F_smallest_principal_angle,20,20,1.0,0.03370194994615547,0.002997292744277683,0.0006702150324671793,0.03229917376157565,0.035104726130735286,20,cell
3.0,QR_Q_P4_capture,20,20,1.0,0.039225152095361676,0.012485869513816257,0.00279192529910854,0.033381585286216514,0.04506871890450684,20,cell
3.0,QR_Q_P4_dim_Q,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
3.0,QR_Q_P4_dim_U,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,QR_Q_P4_excess_capture,20,20,1.0,0.009225152095361707,0.01248586951381622,0.0027919252991085316,0.0033815852862165655,0.015068718904506848,20,cell
3.0,QR_Q_P4_excess_purity,20,20,1.0,0.012300202793815617,0.016647826018421637,0.0037225670654780444,0.004508780381622091,0.020091625206009142,20,cell
3.0,QR_Q_P4_expected_random_capture,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,QR_Q_P4_expected_random_purity,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
