contrast,r_a,r_b,metric,n_paired,mean_delta,sd_delta,mcse_delta,t_stat,p_value,ci95_low,ci95_high,deltas_by_replication
H-over: r=7 minus r=5,7,5,U4_Q_C_dim_Q,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_dim_U,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_excess_capture,20,-0.42557014061292353,0.026661529171296126,0.005961699161111177,-71.3840348384173,0.0,-0.4380481203622748,-0.41309216086357226,0:-0.4219218897;1:-0.4244727436;2:-0.3847334885;3:-0.4110112868;4:-0.4487061658;5:-0.4506740869;6:-0.4112349968;7:-0.4266803027;8:-0.3898289163;9:-0.4456047238;10:-0.4394306468;11:-0.4043755047;12:-0.4193490424;13:-0.4384812708;14:-0.3836874438;15:-0.4606502194;16:-0.4239583004;17:-0.489297753;18:-0.4355301322;19:-0.4017738977
H-over: r=7 minus r=5,7,5,U4_Q_C_excess_purity,20,-0.3191776054596927,0.01999614687847212,0.004471274370833388,-71.38403483841724,0.0,-0.32853609027170616,-0.30981912064767925,0:-0.3164414173;1:-0.3183545577;2:-0.2885501164;3:-0.3082584651;4:-0.3365296243;5:-0.3380055652;6:-0.3084262476;7:-0.3200102271;8:-0.2923716872;9:-0.3342035428;10:-0.3295729851;11:-0.3032816285;12:-0.3145117818;13:-0.3288609531;14:-0.2877655828;15:-0.3454876645;16:-0.3179687253;17:-0.3669733147;18:-0.3266475992;19:-0.3013304233
H-over: r=7 minus r=5,7,5,U4_Q_C_expected_random_capture,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_expected_random_purity,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_full_capture,20,-0.44619033564667826,0.019129031524033925,0.0042773814831476254,-104.31389797814741,0.0,-0.4551429979807867,-0.4372376733125698,0:-0.4656140618;1:-0.4524377733;2:-0.4210943802;3:-0.4391881084;4:-0.4674275336;5:-0.4384516026;6:-0.4270348544;7:-0.4325900747;8:-0.4330914911;9:-0.4743674911;10:-0.4363028538;11:-0.4467984769;12:-0.4388497938;13:-0.453794276;14:-0.4175536019;15:-0.4766144995;16:-0.4496531424;17:-0.4807461704;18:-0.4513243089;19:-0.420872218
H-over: r=7 minus r=5,7,5,U4_Q_C_full_dim_Q,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_full_dim_U,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_full_excess_capture,20,-0.4461903356466781,0.019129031524033887,0.004277381483147617,-104.31389797814758,0.0,-0.45514299798078656,-0.43723767331256963,0:-0.4656140618;1:-0.4524377733;2:-0.4210943802;3:-0.4391881084;4:-0.4674275336;5:-0.4384516026;6:-0.4270348544;7:-0.4325900747;8:-0.4330914911;9:-0.4743674911;10:-0.4363028538;11:-0.4467984769;12:-0.4388497938;13:-0.453794276;14:-0.4175536019;15:-0.4766144995;16:-0.4496531424;17:-0.4807461704;18:-0.4513243089;19:-0.420872218
