run_id,replication,r_used,forecast_origin_index,eig_rank,eigenvalue,exceeds_mp_edge,sq_proj_Q_F,sq_proj_Q_F_unique,sq_proj_Q_C,sq_proj_Q_C_unique,sq_proj_Q_C_full,sq_proj_Q_P4
stage_c_formal_20260817,0,3,0,1,18.628698423653695,True,0.9689275894292146,0.9396079583838615,0.03323874968682326,0.00391911864146966,0.03398221863491082,0.02962232443100521
stage_c_formal_20260817,0,3,0,2,11.522304558201434,True,0.9759771991376297,0.8787117166033258,0.10141974396264239,0.004154261428339709,0.10143767183994183,0.09800717157863316
stage_c_formal_20260817,0,3,0,3,4.580973195061595,True,0.005739524781531426,0.06393612236104979,0.7032769657625039,0.7614735633420225,0.8550206349424946,0.8838460569482887
stage_c_formal_20260817,0,3,0,4,2.9202154801534834,True,0.0036202404023701474,0.08453829125589214,0.4521365536659936,0.5330546045195156,0.8391974508027619,0.8533952795383186
stage_c_formal_20260817,0,3,0,5,1.3098365164193104,False,0.00040491984872433756,0.00875665286197579,0.14269439553257587,0.15104612854582716,0.2566519197352119,0.29237625561073477
stage_c_formal_20260817,0,3,0,6,1.274195047106662,False,0.0011466388151632372,0.002118324539773671,0.07087139124790076,0.07184307697251108,0.07292448248877637,0.059054387933465444
stage_c_formal_20260817,0,3,0,7,1.2461507966251044,False,0.00013947067906642017,8.81102393586377e-05,0.02150626000602074,0.021454899566312916,0.027905198485875214,0.03442638044066101
stage_c_formal_20260817,0,3,0,8,1.2202877982354148,False,0.0007304616674720444,0.0017644917186611037,0.09636932129221784,0.09740335134340665,0.09798605809252577,0.09479417239880687
stage_c_formal_20260817,0,5,0,1,6.4356282413349195,True,0.004862422705472092,0.06255189304239603,0.7247069359699164,0.78239640630684,0.8829826345110597,0.9073592313906398
stage_c_formal_20260817,0,5,0,2,4.202471582561001,True,0.002929405453297924,0.08593556762025158,0.46597663332358963,0.5489827954905436,0.8793109403723645,0.8919718686054423
stage_c_formal_20260817,0,5,0,3,1.653641584908046,False,0.00021382630686745638,0.004161315948706208,0.12664758093651857,0.1305950705783572,0.20792329035973525,0.2223230856707729
stage_c_formal_20260817,0,5,0,4,1.6098825827002452,False,0.0001701586486053965,0.0008654486354291589,0.07435384467154732,0.07504913465837086,0.07496574990457805,0.09423851002685875
stage_c_formal_20260817,0,5,0,5,1.591578270596119,False,0.0004221241632588784,0.0011286977167095226,0.10063823570159604,0.10134480925504646,0.10067437279315301,0.08004182490944728
stage_c_formal_20260817,0,5,0,6,1.5364483417272794,False,0.00021896866717588173,0.0014410575718554193,0.08082645028934862,0.08204853919402808,0.08112440796588603,0.08100318892953735
stage_c_formal_20260817,0,5,0,7,1.5144908535027912,False,0.00010761155170288476,0.001083523087232062,0.05736665606587764,0.05834256760140675,0.05749033626415256,0.05020749124572249
stage_c_formal_20260817,0,5,0,8,1.4866644576441064,False,0.00020301387026506763,0.0027178280545215945,0.04956241471956196,0.05207722890381842,0.06588691672707711,0.07365761083651327
stage_c_formal_20260817,0,7,0,1,1.7816817720345464,True,9.533434468167133e-05,0.0028284481122754675,0.05660552299145892,0.059338636759052675,0.08845090697982996,0.08571773587875461
stage_c_formal_20260817,0,7,0,2,1.7650183035431015,True,0.00010388603541786146,0.0001647209032615504,0.022948068478563923,0.02300890334640759,0.035952208033583816,0.04548335729837777
stage_c_formal_20260817,0,7,0,3,1.7093478887424058,False,0.00019265766133071634,0.0003391460675088245,0.044337407545163667,0.044483895951341675,0.044720766153443454,0.03585949062232741
stage_c_formal_20260817,0,7,0,4,1.6774129139494682,False,2.6377823216368176e-05,0.00020430283625267047,0.07637553023182436,0.07655345524486042,0.08414880015637628,0.0899757403192613
stage_c_formal_20260817,0,7,0,5,1.6614695719123873,False,0.0005685341232363381,0.0027116263963333906,0.01574913026733486,0.017892222540431886,0.021714916564937483,0.010936371681055488
stage_c_formal_20260817,0,7,0,6,1.62958190450599,False,0.00020666700191851115,0.0026420529713839206,0.022578492328515384,0.025013878297980748,0.03565143232596746,0.029408025864924917
stage_c_formal_20260817,0,7,0,7,1.6170069181755098,False,9.893775478350686e-05,0.0027323070921769256,0.06482212350219871,0.06745549283959205,0.06725011502254193,0.08523495329496875
stage_c_formal_20260817,0,7,0,8,1.599144980192254,False,9.63395763267313e-05,0.0009457281884202618,0.10196035709158663,0.10280974570368019,0.10317636745788013,0.09913064986394758
stage_c_formal_20260817,0,3,20,1,18.368996821726203,True,0.9695055803251023,0.9417034655384967,0.03264645265767495,0.004844337871069268,0.03369008453173015,0.029234381362320757
stage_c_formal_20260817,0,3,20,2,11.558824779090672,True,0.9760121260879354,0.8757693502613955,0.1052465411573287,0.00500376533078838,0.10532688859942485,0.10171753236547784
stage_c_formal_20260817,0,3,20,3,4.587910592358203,True,0.006697428912766508,0.06612443910523344,0.6994956444908208,0.7589226546832879,0.8513310842052945,0.8808387924245699
stage_c_formal_20260817,0,3,20,4,2.9264592541248766,True,0.004369210208756799,0.08664867635089966,0.45740931351009584,0.5396887796522387,0.842503988767875,0.8559654161924762
stage_c_formal_20260817,0,3,20,5,1.2890461704457328,False,0.00032701369487319503,0.009126411239805392,0.13107846151836117,0.1398778590632932,0.23865591731394753,0.2586256664865962
stage_c_formal_20260817,0,3,20,6,1.2625753557637407,False,0.0012784115998097196,0.0022363446121940168,0.13608974314305294,0.13704767615543675,0.16215252772273847,0.15864410805872128
stage_c_formal_20260817,0,3,20,7,1.2389725095141009,False,0.00010354505933590557,0.00037214921178629613,0.04318321015837434,0.043451814310824746,0.04592397609499867,0.056450034540190826
stage_c_formal_20260817,0,3,20,8,1.2256073204478641,False,0.0010060649197719438,0.0031539873963881393,0.060981024491478776,0.06312894696809496,0.06131204012030387,0.05359799930952732
stage_c_formal_20260817,0,5,20,1,6.406300192877571,True,0.005968126033014757,0.06451921367897263,0.7217638583461489,0.7803149459921064,0.8794083255398984,0.9043471778180331
stage_c_formal_20260817,0,5,20,2,4.204152907913867,True,0.003263390088054926,0.08634797952315053,0.4701277298003293,0.5532123192354255,0.8823188631042787,0.8945129533829103
stage_c_formal_20260817,0,5,20,3,1.6396392497979562,False,0.00033094536758881065,0.0031557622637200288,0.1379930510870242,0.1408178679831552,0.21415076802924277,0.22508390309601428
stage_c_formal_20260817,0,5,20,4,1.6173199186879301,False,0.00015941584477549857,0.002834656610212761,0.17943462112409872,0.1821098618895358,0.18031261493968825,0.181548909288615
stage_c_formal_20260817,0,5,20,5,1.5923968099076493,False,0.00024451336923872924,0.0008887646107499563,0.13235388980807797,0.13299814104958899,0.133941375079755,0.11078329570285449
stage_c_formal_20260817,0,5,20,6,1.53715197538838,False,0.00046444218785554934,0.0021157593295271135,0.07381231638974295,0.07546363353141446,0.07531788465881391,0.0743531578525699
stage_c_formal_20260817,0,5,20,7,1.5108792687885149,False,0.00018026672460445272,0.0008459885845503337,0.012820006930622595,0.01348572879056846,0.018889471284564228,0.017070489918750483
stage_c_formal_20260817,0,5,20,8,1.494278889950257,False,0.0002908412025811242,0.0030078605772065684,0.03914294289590272,0.041859962270528156,0.0573156536814886,0.0706920296907101
stage_c_formal_20260817,0,7,20,1,1.7765925619676572,True,6.600120115945511e-05,0.0014549961304936164,0.0357746411778533,0.0371636361071875,0.042812099370134915,0.03537694044452333
stage_c_formal_20260817,0,7,20,2,1.7560925485877863,True,0.00015576626893863192,0.0009087143898915734,0.03969124429355856,0.040444192414511464,0.06830544413173766,0.07262192891720272
stage_c_formal_20260817,0,7,20,3,1.7079081072878295,False,0.00036561432978632656,0.0011009589381999008,0.11977691179643814,0.12051225640485148,0.12836415465966597,0.11359423401567233
stage_c_formal_20260817,0,7,20,4,1.68240915679259,False,0.0002692754372568215,0.0006565824403995138,0.12176949600071443,0.12215680300385705,0.12530676254649317,0.11980289859848778
stage_c_formal_20260817,0,7,20,5,1.6707231343926467,False,0.00014653481369394418,0.001426965830704678,0.04900304921502807,0.0502834802320388,0.0490129672375855,0.06025925651967795
stage_c_formal_20260817,0,7,20,6,1.647731818141036,False,0.0003355505126941207,0.005387819148315223,0.04434538964351151,0.0493976582791326,0.06725543029521244,0.05269490878156671
stage_c_formal_20260817,0,7,20,7,1.6156384808213335,False,0.00011844253168454061,0.00026612559059749645,0.01863192406707043,0.01877960712598338,0.025499989010719863,0.03331695509397006
stage_c_formal_20260817,0,7,20,8,1.6062346428118612,False,0.0001104929166491566,0.0014097559533162401,0.033216264708248566,0.03451552774491565,0.03648322258091193,0.047343441573207384
stage_c_formal_20260817,0,3,41,1,17.561281611127683,True,0.9699397615332249,0.9419498102936495,0.033228553213044236,0.005238601973468123,0.03348410474442256,0.029794242313949094
stage_c_formal_20260817,0,3,41,2,11.640780750193246,True,0.9768622227531839,0.876432949844163,0.10543549812486641,0.005006225215846162,0.10550349735248377,0.10166495461441016
stage_c_formal_20260817,0,3,41,3,4.607734815145776,True,0.006603411282101592,0.06652084374762755,0.7057466804435331,0.7656641129090589,0.8524586263081444,0.8817237281605406
stage_c_formal_20260817,0,3,41,4,2.964159533640016,True,0.005289246893149574,0.08752030258548645,0.4510728383368561,0.5333038940291933,0.8438128082463257,0.856505211851214
stage_c_formal_20260817,0,3,41,5,1.2844207278507582,False,0.0004190630296441054,0.010219071914400349,0.15043313661193777,0.16023314549669393,0.26552211329303765,0.28643407265841625
stage_c_formal_20260817,0,3,41,6,1.2769527987230729,False,0.0011850481174597168,0.0036654132273197405,0.17652434195363947,0.17900470706349944,0.17926504615673416,0.15813666853607572
stage_c_formal_20260817,0,3,41,7,1.252173258409327,False,0.0008190868082616214,0.0010064071967052107,0.08269953183576591,0.08288685222420947,0.09804866699739011,0.11435485330793108
stage_c_formal_20260817,0,3,41,8,1.2475976051300524,False,0.00044153708537067915,0.0004206641694199801,0.001537711056585692,0.0015168381406349962,0.0030853994319345723,0.002044309083561328
