r_used,mean_d_hat,d_hat_ci95_low,d_hat_ci95_high,Pr_d_hat_equals_4,ARI_fixed_K,ARI_fixed_K_ci95_low,ARI_fixed_K_ci95_high,ARI_K_equals_d_hat,ARI_K_equals_d_hat_ci95_low,ARI_K_equals_d_hat_ci95_high,MSPE_fixed_K,MSPE_fixed_K_ci95_low,MSPE_fixed_K_ci95_high,MSPE_K_equals_d_hat,MSPE_K_equals_d_hat_ci95_low,MSPE_K_equals_d_hat_ci95_high,failure_rate
1,5.474248496993988,5.240562841756074,5.7079341522319025,0.0544088176352705,0.0108659384547174,0.0042475511779648,0.01748432573147,0.0079811940729618,0.0017898681165916,0.014172520029332,2.145890282698948,2.12944054817082,2.1623400172270757,2.16440130206465,2.145996569018751,2.182806035110549,0.0
2,4.975450901803607,4.946996540372137,5.003905263235078,0.0245490981963927,0.0265090261550829,0.0161614413337292,0.0368566109764365,0.0160721449630699,0.0088403856979739,0.0233039042281659,2.0700619591398315,2.0522669804534117,2.0878569378262513,2.0765290555426352,2.0578606194708065,2.095197491614464,0.0
3,4.0,4.0,4.0,1.0,0.0721502804681941,0.049567443621043,0.0947331173153453,0.0721502804681941,0.049567443621043,0.0947331173153453,2.0054084671990138,1.9897964558085632,2.021020478589464,2.0054084671990138,1.9897964558085632,2.021020478589464,0.0
4,3.0,3.0,3.0,0.0,0.2373688327265251,0.1892978829884346,0.2854397824646155,0.211850514364838,0.1552056644156237,0.2684953643140523,1.926044234841652,1.9118955902382544,1.9401928794450491,1.930112940434412,1.9158226929709303,1.9444031878978931,0.0
5,2.0511022044088176,1.9888302591685392,2.1133741496490956,0.0,0.6398981948421978,0.6168527916111165,0.6629435980732791,0.332302245741972,0.3144304513603799,0.350174040123564,1.901097095951362,1.888560525085108,1.913633666817616,1.9260154252665287,1.9141723596838112,1.937858490849246,0.0
6,1.7351703406813628,1.5426063989017644,1.9277342824609611,0.0,0.2925031988068931,0.2678789208447568,0.3171274767690294,0.1769757737625271,0.1307345980156732,0.2232169495093811,1.9216970380632483,1.9089987888010025,1.9343952873254944,1.952147035132284,1.9386256776475173,1.9656683926170508,0.0
7,2.2839679358717433,2.1427307495826833,2.4252051221608033,0.0072144288577154,0.0247231899626268,0.0155017335142658,0.0339446464109877,0.0182341383366954,0.0098214744918511,0.0266468021815396,1.9045243724461016,1.8926742691617324,1.9163744757304704,1.9218578212607091,1.9096152310057255,1.9341004115156928,0.0
8,2.332364729458918,2.203265094873798,2.461464364044037,0.0065130260521042,0.0114879222904071,0.0068671922786092,0.0161086523022049,0.0087129742927204,0.0050413520202138,0.012384596565227,1.9056307345691563,1.8938093956772328,1.9174520734610805,1.9237020302601824,1.911750414167782,1.9356536463525824,0.0
9,2.3916833667334667,2.2393133310979327,2.5440534023690007,0.0289579158316633,0.0071155073807281,0.0029573404812254,0.0112736742802307,0.0057779969634896,0.0025896088497891,0.00896638507719,1.9067957400314408,1.8950519771421557,1.9185395029207264,1.9238923667531356,1.9112204729247977,1.9365642605814737,0.0
