r_used,contrast,metric,n_pairs,mean_paired_difference,sd_paired_difference,mcse,ci95_low,ci95_high
1,robustness_minus_primary,mean_ARI_conditional,20,-0.0028847443817556343,0.0045503426812848,0.0010174875556271472,-0.005014370310744319,-0.0007551184527669497
1,robustness_minus_primary,MSPE_complete,20,0.01851101936570181,0.010407622933276761,0.0023272152362992598,0.013640101896342047,0.02338193683506157
1,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
2,robustness_minus_primary,mean_ARI_conditional,20,-0.01043688119201295,0.013346618973098964,0.0029843947293637717,-0.016683291148420563,-0.004190471235605337
2,robustness_minus_primary,MSPE_complete,20,0.006467096402804085,0.003959075969306204,0.0008852762995454542,0.0046141918130579145,0.008320000992550255
2,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
3,robustness_minus_primary,mean_ARI_conditional,20,0.0,0.0,0.0,0.0,0.0
3,robustness_minus_primary,MSPE_complete,20,0.0,0.0,0.0,0.0,0.0
3,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
4,robustness_minus_primary,mean_ARI_conditional,20,-0.025518318361687015,0.053361775402274284,0.011932055719956147,-0.050492398002094936,-0.0005442387212790945
4,robustness_minus_primary,MSPE_complete,20,0.0040687055927596805,0.004010675078881526,0.0008968142112043423,0.0021916518763738196,0.005945759309145541
4,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
5,robustness_minus_primary,mean_ARI_conditional,20,-0.3075959491002259,0.0664199770272804,0.014851958369697339,-0.3386814552230726,-0.27651044297737926
5,robustness_minus_primary,MSPE_complete,20,0.024918329315167086,0.006422187135008408,0.0014360446998103419,0.021912653215258548,0.027924005415075625
5,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
6,robustness_minus_primary,mean_ARI_conditional,20,-0.1155274250443659,0.09120647196006797,0.020394387129064044,-0.15821336788041124,-0.07284148220832058
6,robustness_minus_primary,MSPE_complete,20,0.03044999706903523,0.013224776968948748,0.0029571500289843023,0.02426061092587699,0.03663938321219347
6,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
7,robustness_minus_primary,mean_ARI_conditional,20,-0.006489051625931404,0.008508119656533265,0.0019024733912710542,-0.010470974196733384,-0.0025071290551294248
7,robustness_minus_primary,MSPE_complete,20,0.01733344881460831,0.00524285926158029,0.001172338970535788,0.014879715149356685,0.019787182479859933
7,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
8,robustness_minus_primary,mean_ARI_conditional,20,-0.0027749479976866324,0.003404670193338065,0.0007613073993271265,-0.004368382697277305,-0.0011815132980959595
8,robustness_minus_primary,MSPE_complete,20,0.018071295691026047,0.005357532628330137,0.00119798071486193,0.015563893238102821,0.020578698143949272
8,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
9,robustness_minus_primary,mean_ARI_conditional,20,-0.001337510417238495,0.002611867860978391,0.0005840314085394652,-0.002559902203841535,-0.00011511863063545487
9,robustness_minus_primary,MSPE_complete,20,0.01709662672169445,0.005575703187728493,0.001246765135012318,0.014487117303916103,0.019706136139472797
9,robustness_minus_primary,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
