run_id,replication,structural_seed,r_used,branch,n_origins_total,n_origins_successful,n_origins_failed,failure_rate,success_coverage,MSPE_complete_numerator,MSPE_complete_denominator,MSPE_complete,MSPE_conditional_numerator,MSPE_conditional_denominator,MSPE_conditional,ARI_coverage,mean_ARI_conditional,mean_d_hat,sd_d_hat_within,Pr_d_hat_equals_K_true_within,actual_spectral_radius
formal_preferred_20260816,1,162215,1,primary_fixed_K,499,499,0,0.0,1.0,106099.00094694825,49900.0,2.1262324839067785,106099.00094694825,49900.0,2.1262324839067785,1.0,0.010333588528814407,5.597194388777555,0.49095446779346424,0.0,0.920657990182796
formal_preferred_20260816,1,162215,1,robustness_K_equals_d_hat,499,499,0,0.0,1.0,106527.5383380754,49900.0,2.1348204075766612,106527.5383380754,49900.0,2.1348204075766612,1.0,0.014035774760591375,5.597194388777555,0.49095446779346424,0.0,0.920657990182796
formal_preferred_20260816,1,162215,2,primary_fixed_K,499,499,0,0.0,1.0,103012.05112408067,49900.0,2.0643697620056245,103012.05112408067,49900.0,2.0643697620056245,1.0,0.03594001388840426,5.0,0.0,0.0,0.920657990182796
formal_preferred_20260816,1,162215,2,robustness_K_equals_d_hat,499,499,0,0.0,1.0,103374.0931580372,49900.0,2.071625113387519,103374.0931580372,49900.0,2.071625113387519,1.0,0.03221007858642311,5.0,0.0,0.0,0.920657990182796
formal_preferred_20260816,1,162215,3,primary_fixed_K,499,499,0,0.0,1.0,99891.55874048927,49900.0,2.001834844498783,99891.55874048927,49900.0,2.001834844498783,1.0,0.03520949817415649,4.0,0.0,1.0,0.920657990182796
formal_preferred_20260816,1,162215,3,robustness_K_equals_d_hat,499,499,0,0.0,1.0,99891.55874048927,49900.0,2.001834844498783,99891.55874048927,49900.0,2.001834844498783,1.0,0.03520949817415649,4.0,0.0,1.0,0.920657990182796
formal_preferred_20260816,1,162215,4,primary_fixed_K,499,499,0,0.0,1.0,96157.04921493566,49900.0,1.9269949742472077,96157.04921493566,49900.0,1.9269949742472077,1.0,0.1993502634988582,3.0,0.0,0.0,0.920657990182796
formal_preferred_20260816,1,162215,4,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96032.38145881744,49900.0,1.9244966224211912,96032.38145881744,49900.0,1.9244966224211912,1.0,0.14017586021101064,3.0,0.0,0.0,0.920657990182796
formal_preferred_20260816,1,162215,5,primary_fixed_K,499,499,0,0.0,1.0,93780.32985159772,49900.0,1.879365327687329,93780.32985159772,49900.0,1.879365327687329,1.0,0.7534295103361849,2.0,0.0,0.0,0.920657990182796
formal_preferred_20260816,1,162215,5,robustness_K_equals_d_hat,499,499,0,0.0,1.0,95281.46830947208,49900.0,1.9094482627148714,95281.46830947208,49900.0,1.9094482627148714,1.0,0.3259146310458838,2.0,0.0,0.0,0.920657990182796
formal_preferred_20260816,1,162215,6,primary_fixed_K,499,499,0,0.0,1.0,96418.77379081666,49900.0,1.9322399557277887,96418.77379081666,49900.0,1.9322399557277887,1.0,0.39030915943001304,1.3306613226452906,0.47937560158673376,0.0,0.920657990182796
formal_preferred_20260816,1,162215,6,robustness_K_equals_d_hat,499,499,0,0.0,1.0,98723.99006002436,49900.0,1.9784366745495863,98723.99006002436,49900.0,1.9784366745495863,1.0,0.13010560234533602,1.3306613226452906,0.47937560158673376,0.0,0.920657990182796
formal_preferred_20260816,1,162215,7,primary_fixed_K,499,499,0,0.0,1.0,94494.65025705064,49900.0,1.8936803658727583,94494.65025705064,49900.0,1.8936803658727583,1.0,0.004521742933520628,2.2404809619238475,0.4416614409840268,0.0,0.920657990182796
formal_preferred_20260816,1,162215,7,robustness_K_equals_d_hat,499,499,0,0.0,1.0,95228.6527892712,49900.0,1.9083898354563367,95228.6527892712,49900.0,1.9083898354563367,1.0,0.002894527895969447,2.2404809619238475,0.4416614409840268,0.0,0.920657990182796
formal_preferred_20260816,1,162215,8,primary_fixed_K,499,499,0,0.0,1.0,94419.10259019522,49900.0,1.8921663845730505,94419.10259019522,49900.0,1.8921663845730505,1.0,0.009437811995198395,2.2865731462925853,0.5030430292903305,0.0,0.920657990182796
formal_preferred_20260816,1,162215,8,robustness_K_equals_d_hat,499,499,0,0.0,1.0,95184.85820600094,49900.0,1.9075121884970128,95184.85820600094,49900.0,1.9075121884970128,1.0,0.004619670465715554,2.2865731462925853,0.5030430292903305,0.0,0.920657990182796
formal_preferred_20260816,1,162215,9,primary_fixed_K,499,499,0,0.0,1.0,94569.56074120098,49900.0,1.8951815779799797,94569.56074120098,49900.0,1.8951815779799797,1.0,0.0020990991463081775,2.4629258517034067,0.5704647021671899,0.0,0.920657990182796
formal_preferred_20260816,1,162215,9,robustness_K_equals_d_hat,499,499,0,0.0,1.0,95162.71651592055,49900.0,1.9070684672529168,95162.71651592055,49900.0,1.9070684672529168,1.0,0.0021261203687834565,2.4629258517034067,0.5704647021671899,0.0,0.920657990182796
formal_preferred_20260816,2,2951145736,1,primary_fixed_K,499,499,0,0.0,1.0,108823.68414895391,49900.0,2.180835353686451,108823.68414895391,49900.0,2.180835353686451,1.0,0.015899869815331986,5.597194388777555,0.49095446779346286,0.0,0.900000000000002
formal_preferred_20260816,2,2951145736,1,robustness_K_equals_d_hat,499,499,0,0.0,1.0,109302.48524274182,49900.0,2.19043056598681,109302.48524274182,49900.0,2.19043056598681,1.0,0.0051620484826614054,5.597194388777555,0.49095446779346286,0.0,0.900000000000002
formal_preferred_20260816,2,2951145736,2,primary_fixed_K,499,499,0,0.0,1.0,105157.89226023012,49900.0,2.1073725903853733,105157.89226023012,49900.0,2.1073725903853733,1.0,0.020677026503206755,5.0,0.0,0.0,0.900000000000002
formal_preferred_20260816,2,2951145736,2,robustness_K_equals_d_hat,499,499,0,0.0,1.0,105414.67447043626,49900.0,2.1125185264616486,105414.67447043626,49900.0,2.1125185264616486,1.0,0.018527046384515408,5.0,0.0,0.0,0.900000000000002
