dgp,K_branch,variant,baing_branch,r0,replication,reached,n_iter
strong_sbm,primary_fixed_K,A_incremental,released,4,16,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,17,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,18,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,19,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,5,0,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,1,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,2,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,3,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,4,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,5,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,6,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,7,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,8,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,9,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,10,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,11,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,12,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,13,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,14,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,15,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,16,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,17,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,18,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,5,19,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,6,0,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,1,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,2,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,3,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,4,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,5,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,6,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,7,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,8,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,9,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,10,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,11,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,12,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,13,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,14,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,15,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,16,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,17,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,18,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,6,19,0.0,4.0
strong_sbm,primary_fixed_K,A_incremental,released,7,0,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,1,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,2,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,3,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,4,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,5,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,6,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,7,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,8,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,9,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,10,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,11,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,12,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,13,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,14,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,15,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,16,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,17,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,18,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,7,19,0.0,3.0
strong_sbm,primary_fixed_K,A_incremental,released,8,0,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,1,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,2,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,3,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,4,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,5,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,6,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,7,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,8,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,9,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,10,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,11,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,12,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,13,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,14,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,15,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,16,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,17,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,18,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,8,19,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,released,9,0,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,1,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,2,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,3,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,4,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,5,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,6,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,7,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,8,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,9,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,10,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,11,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,12,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,13,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,14,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,15,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,16,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,17,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,18,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,released,9,19,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,0,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,1,0.2,2.2
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,2,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,3,0.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,4,0.2,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,5,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,6,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,7,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,8,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,9,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,10,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,11,0.8,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,12,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,13,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,14,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,15,0.6,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,16,0.6,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,17,0.8,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,18,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,19,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,0,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,1,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,2,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,3,0.2,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,4,0.8,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,5,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,6,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,7,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,8,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,9,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,10,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,11,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,12,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,13,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,14,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,15,0.6,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,16,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,17,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,18,1.0,2.0
