run_id,dgp,replication,structural_seed,actual_spectral_radius,is_stationary,origin_index,r0_released,r0_zero_fixed,r0_argmin_index,r0_ic_tie,r0_ER,r0_GR,status,error_message
formal_init_cleanup_20260819,strong_sbm,7,2175964406,0.8999999999999998,True,498.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,8,1271978911,0.8999999999999991,True,0.0,5.0,5.0,4.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,8,1271978911,0.8999999999999991,True,124.0,5.0,5.0,4.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,8,1271978911,0.8999999999999991,True,249.0,6.0,6.0,5.0,False,4.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,8,1271978911,0.8999999999999991,True,374.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,8,1271978911,0.8999999999999991,True,498.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,9,2148785807,0.9005113332381124,True,0.0,6.0,6.0,5.0,False,5.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,9,2148785807,0.9005113332381124,True,124.0,6.0,6.0,5.0,False,5.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,9,2148785807,0.9005113332381124,True,249.0,6.0,6.0,5.0,False,5.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,9,2148785807,0.9005113332381124,True,374.0,6.0,6.0,5.0,False,5.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,9,2148785807,0.9005113332381124,True,498.0,7.0,7.0,6.0,False,5.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,10,3128250985,0.9000000000000039,True,0.0,7.0,7.0,6.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,10,3128250985,0.9000000000000039,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,10,3128250985,0.9000000000000039,True,249.0,7.0,7.0,6.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,10,3128250985,0.9000000000000039,True,374.0,7.0,7.0,6.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,10,3128250985,0.9000000000000039,True,498.0,7.0,7.0,6.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,11,3723452138,0.9000000000000006,True,0.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,11,3723452138,0.9000000000000006,True,124.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,11,3723452138,0.9000000000000006,True,249.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,11,3723452138,0.9000000000000006,True,374.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,11,3723452138,0.9000000000000006,True,498.0,6.0,6.0,5.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,12,2557843024,0.8999999999999988,True,0.0,6.0,6.0,5.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,12,2557843024,0.8999999999999988,True,124.0,6.0,6.0,5.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,12,2557843024,0.8999999999999988,True,249.0,6.0,6.0,5.0,False,4.0,4.0,ok,
formal_init_cleanup_20260819,strong_sbm,12,2557843024,0.8999999999999988,True,374.0,6.0,6.0,5.0,False,4.0,4.0,ok,
formal_init_cleanup_20260819,strong_sbm,12,2557843024,0.8999999999999988,True,498.0,6.0,6.0,5.0,False,4.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,13,349997695,0.9280672150657668,True,0.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,13,349997695,0.9280672150657668,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,13,349997695,0.9280672150657668,True,249.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,13,349997695,0.9280672150657668,True,374.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,13,349997695,0.9280672150657668,True,498.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,14,3902369840,0.9000000000000004,True,0.0,5.0,5.0,4.0,False,4.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,14,3902369840,0.9000000000000004,True,124.0,5.0,5.0,4.0,False,4.0,4.0,ok,
formal_init_cleanup_20260819,strong_sbm,14,3902369840,0.9000000000000004,True,249.0,5.0,5.0,4.0,False,4.0,4.0,ok,
formal_init_cleanup_20260819,strong_sbm,14,3902369840,0.9000000000000004,True,374.0,5.0,5.0,4.0,False,4.0,4.0,ok,
formal_init_cleanup_20260819,strong_sbm,14,3902369840,0.9000000000000004,True,498.0,5.0,5.0,4.0,False,4.0,4.0,ok,
formal_init_cleanup_20260819,strong_sbm,15,883069729,0.9610944306845408,True,0.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,15,883069729,0.9610944306845408,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,15,883069729,0.9610944306845408,True,249.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,15,883069729,0.9610944306845408,True,374.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,15,883069729,0.9610944306845408,True,498.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,16,587737673,0.9031479498375986,True,0.0,6.0,6.0,5.0,False,5.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,16,587737673,0.9031479498375986,True,124.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,16,587737673,0.9031479498375986,True,249.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,16,587737673,0.9031479498375986,True,374.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,16,587737673,0.9031479498375986,True,498.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,17,1621160096,0.9252181344303488,True,0.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,17,1621160096,0.9252181344303488,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,17,1621160096,0.9252181344303488,True,249.0,6.0,6.0,5.0,False,7.0,7.0,ok,
