dgp,replication,origin_index,K_branch,variant,baing_branch,r0,stop_state,n_iter,terminal_r,reached_r_true,trajectory
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,8,wrong_fixed_point,1,8,0,8->8
strong_sbm,0,124.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,9,wrong_fixed_point,1,9,0,9->9
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,0,124.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,9,wrong_fixed_point,2,7,0,9->7->7
