dgp,K_branch,variant,baing_branch,r0,n_worlds,P_reach_r_true,sd,mcse,ci_low,ci_high,mean_n_iter
strong_sbm,primary_fixed_K,C_criterion,released,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,primary_fixed_K,C_criterion,released,6,20,0.04,0.08207826816681232,0.01835325870964494,0.0015861880439351841,0.07841381195606481,1.0799999999999998
strong_sbm,primary_fixed_K,C_criterion,released,7,20,0.07,0.18666040089734592,0.04173853451138282,-0.017359756728073675,0.15735975672807367,1.3599999999999999
strong_sbm,primary_fixed_K,C_criterion,released,8,20,0.07,0.14903196407411895,0.03332456024900365,0.0002508937962579644,0.13974910620374204,2.06
strong_sbm,primary_fixed_K,C_criterion,released,9,20,0.04,0.10462967275611938,0.023395906074624072,-0.008968194188864582,0.08896819418886459,2.05
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,1,20,0.96,0.13917047478769184,0.031119464208619958,0.8948662128510614,1.0251337871489385,2.0
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,2,20,0.99,0.04472135954999579,0.009999999999999998,0.9690697594559173,1.0109302405440825,2.0
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,3,20,0.99,0.04472135954999579,0.009999999999999998,0.9690697594559173,1.0109302405440825,2.0
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,4,20,1.0,0.0,0.0,1.0,1.0,2.0
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,6,20,0.04,0.08207826816681232,0.01835325870964494,0.0015861880439351841,0.07841381195606481,1.0799999999999998
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,7,20,0.07,0.18666040089734592,0.04173853451138282,-0.017359756728073675,0.15735975672807367,1.3599999999999999
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,8,20,0.07,0.14903196407411895,0.03332456024900365,0.0002508937962579644,0.13974910620374204,2.06
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,9,20,0.04,0.10462967275611938,0.023395906074624072,-0.008968194188864582,0.08896819418886459,2.05
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,1,20,0.0,0.0,0.0,0.0,0.0,5.5200000000000005
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,2,20,0.0,0.0,0.0,0.0,0.0,5.79
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,3,20,0.0,0.0,0.0,0.0,0.0,5.9799999999999995
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,4,20,0.0,0.0,0.0,0.0,0.0,6.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,5,20,0.0,0.0,0.0,0.0,0.0,5.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,6,20,0.0,0.0,0.0,0.0,0.0,4.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,7,20,0.0,0.0,0.0,0.0,0.0,3.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,8,20,0.0,0.0,0.0,0.0,0.0,2.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,9,20,0.0,0.0,0.0,0.0,0.0,1.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,1,20,0.52,0.4514304749174678,0.10094292290304717,0.3087240342416435,0.7312759657583565,2.0300000000000002
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,2,20,0.7899999999999999,0.3210181172129501,0.07178183320971517,0.6397588964225442,0.9402411035774556,2.02
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,3,20,0.9800000000000001,0.08944271909999157,0.019999999999999997,0.9381395189118349,1.0218604810881653,2.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,4,20,1.0,0.0,0.0,1.0,1.0,2.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,6,20,0.0,0.0,0.0,0.0,0.0,1.05
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,7,20,0.0,0.0,0.0,0.0,0.0,1.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,8,20,0.0,0.0,0.0,0.0,0.0,1.0
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,9,20,0.0,0.0,0.0,0.0,0.0,1.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,1,20,0.52,0.4514304749174678,0.10094292290304717,0.3087240342416435,0.7312759657583565,2.0100000000000002
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,2,20,0.7899999999999999,0.3210181172129501,0.07178183320971517,0.6397588964225442,0.9402411035774556,2.0100000000000002
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,3,20,0.9800000000000001,0.08944271909999157,0.019999999999999997,0.9381395189118349,1.0218604810881653,2.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,4,20,1.0,0.0,0.0,1.0,1.0,2.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,6,20,0.01,0.0447213595499958,0.010000000000000002,-0.010930240544082632,0.03093024054408263,1.02
