run_id,replication,structural_seed,forecast_origin_index,target_index,r_used,space_type,rank_Q_Rr,rank_Q_R5,expected_rank,rank_Qspace,rank_ok,nesting_max_all_adjacent,nesting_ok,Qspace_Q_F_dim_U,Qspace_Q_F_dim_Q,Qspace_Q_F_shared_energy,Qspace_Q_F_purity,Qspace_Q_F_capture,Qspace_Q_F_expected_random_purity,Qspace_Q_F_expected_random_capture,Qspace_Q_F_excess_purity,Qspace_Q_F_excess_capture,Qspace_Q_F_largest_canonical_correlation,Qspace_Q_F_smallest_principal_angle,Qspace_Q_F_canonical_correlations,Qspace_Q_F_principal_angles,Qspace_Q_F_unique_dim_U,Qspace_Q_F_unique_dim_Q,Qspace_Q_F_unique_shared_energy,Qspace_Q_F_unique_purity,Qspace_Q_F_unique_capture,Qspace_Q_F_unique_expected_random_purity,Qspace_Q_F_unique_expected_random_capture,Qspace_Q_F_unique_excess_purity,Qspace_Q_F_unique_excess_capture,Qspace_Q_F_unique_largest_canonical_correlation,Qspace_Q_F_unique_smallest_principal_angle,Qspace_Q_F_unique_canonical_correlations,Qspace_Q_F_unique_principal_angles,Qspace_Q_C_dim_U,Qspace_Q_C_dim_Q,Qspace_Q_C_shared_energy,Qspace_Q_C_purity,Qspace_Q_C_capture,Qspace_Q_C_expected_random_purity,Qspace_Q_C_expected_random_capture,Qspace_Q_C_excess_purity,Qspace_Q_C_excess_capture,Qspace_Q_C_largest_canonical_correlation,Qspace_Q_C_smallest_principal_angle,Qspace_Q_C_canonical_correlations,Qspace_Q_C_principal_angles,Qspace_Q_C_unique_dim_U,Qspace_Q_C_unique_dim_Q,Qspace_Q_C_unique_shared_energy,Qspace_Q_C_unique_purity,Qspace_Q_C_unique_capture,Qspace_Q_C_unique_expected_random_purity,Qspace_Q_C_unique_expected_random_capture,Qspace_Q_C_unique_excess_purity,Qspace_Q_C_unique_excess_capture,Qspace_Q_C_unique_largest_canonical_correlation,Qspace_Q_C_unique_smallest_principal_angle,Qspace_Q_C_unique_canonical_correlations,Qspace_Q_C_unique_principal_angles,Qspace_Q_C_full_dim_U,Qspace_Q_C_full_dim_Q,Qspace_Q_C_full_shared_energy,Qspace_Q_C_full_purity,Qspace_Q_C_full_capture,Qspace_Q_C_full_expected_random_purity,Qspace_Q_C_full_expected_random_capture,Qspace_Q_C_full_excess_purity,Qspace_Q_C_full_excess_capture,Qspace_Q_C_full_largest_canonical_correlation,Qspace_Q_C_full_smallest_principal_angle,Qspace_Q_C_full_canonical_correlations,Qspace_Q_C_full_principal_angles,Qspace_Q_P4_dim_U,Qspace_Q_P4_dim_Q,Qspace_Q_P4_shared_energy,Qspace_Q_P4_purity,Qspace_Q_P4_capture,Qspace_Q_P4_expected_random_purity,Qspace_Q_P4_expected_random_capture,Qspace_Q_P4_excess_purity,Qspace_Q_P4_excess_capture,Qspace_Q_P4_largest_canonical_correlation,Qspace_Q_P4_smallest_principal_angle,Qspace_Q_P4_canonical_correlations,Qspace_Q_P4_principal_angles,source
fullgrid_formal_20260817,0,3674827978,0,1001,1,missing,1,5,4,4,True,1.816264583883632e-15,True,4,5,3.982261244400878,0.9955653111002196,0.7964522488801756,0.05,0.04,0.9455653111002196,0.7564522488801756,0.9994326472462066,0.0336869829489885,"[0.9994326472462066, 0.999007574962038, 0.9984753156793925, 0.9941964278585611]","[0.033686982948988524, 0.04455534160256539, 0.05522810737161779, 0.10778863038640706]",4.0,5.0,3.798314748994696,0.949578687248674,0.7596629497989392,0.05,0.04,0.899578687248674,0.7196629497989392,0.9987843778655352,0.0493126455154,"[0.9987843778655351, 0.9985801606480188, 0.9841288764416033, 0.9138230314674809]","[0.04931264551540009, 0.05329494290989065, 0.17840002379261727, 0.4181960554475039]",4,3,0.1917409861218744,0.0479352465304686,0.0639136620406248,0.03,0.04,0.0179352465304686,0.0239136620406248,0.4013310113921448,1.1578267672052336,"[0.4013310113921448, 0.17139432073755378, 0.036033210178183964]","[1.1578267672052336, 1.3985515682996397, 1.5347553145172148]",4,3,0.0077944907156936,0.0019486226789234,0.0025981635718978,0.03,0.04,-0.0280513773210765,-0.0374018364281021,0.0881291896000566,1.4825526570054788,"[0.08812918960005664, 0.004582103114043398, 0.0025963411145642616]","[1.4825526570054788, 1.5662142076466483, 1.5681999827633397]",4.0,0.0,,,,,,,,,,[],[],4,4,0.2012473495636961,0.050311837390924,0.050311837390924,0.04,0.04,0.010311837390924,0.010311837390924,0.4044828377155431,1.154383052453719,"[0.4044828377155431, 0.15273607104595743, 0.11819838367794427, 0.018488327524237878]","[1.154383052453719, 1.4174600880795658, 1.452320976162289, 1.552306945833972]",full_grid_extension
fullgrid_formal_20260817,0,3674827978,0,1001,2,missing,2,5,3,3,True,1.816264583883632e-15,True,3,5,2.9844793399983356,0.994826446666112,0.5968958679996671,0.05,0.03,0.9448264466661118,0.5668958679996671,0.9993198415095824,0.0368845660676767,"[0.9993198415095825, 0.9984753361497842, 0.9944275727594111]","[0.03688456606767676, 0.05522773653018651, 0.10561827748119695]",3.0,5.0,2.83607774552438,0.9453592485081268,0.567215549104876,0.05,0.03,0.8953592485081266,0.537215549104876,0.9987009413230032,0.0509772504824977,"[0.9987009413230032, 0.9845390841535002, 0.9323931397748023]","[0.050977250482497745, 0.1760733989589759, 0.36981801216857846]",3,3,0.1556970693897546,0.0518990231299182,0.0518990231299182,0.03,0.03,0.0218990231299182,0.0218990231299182,0.3556446474093421,1.2071926080921171,"[0.3556446474093421, 0.16944430597528243, 0.02241832579373945]","[1.2071926080921171, 1.400530532419568, 1.5483761227376642]",3,3,0.0072954749157997,0.0024318249719332,0.0024318249719332,0.03,0.03,-0.0275681750280667,-0.0275681750280667,0.0852833577913837,1.4854092479555836,"[0.08528335779138373, 0.004579646802522884, 0.0011183178397511106]","[1.4854092479555836, 1.5662166639839414, 1.569678008722044]",3.0,0.0,,,,,,,,,,[],[],3,4,0.1607736291897175,0.0535912097299058,0.0401934072974293,0.04,0.03,0.0135912097299058,0.0101934072974293,0.3579964662476415,1.2046750659763037,"[0.3579964662476415, 0.15222495182157164, 0.09715823890354865]","[1.2046750659763035, 1.4179772548108196, 1.4734845770816416]",full_grid_extension
fullgrid_formal_20260817,0,3674827978,0,1001,4,missing,4,5,1,1,True,1.816264583883632e-15,True,1,5,0.9925995977474924,0.9925995977474924,0.1985199195494985,0.05,0.01,0.9425995977474924,0.1885199195494984,0.9962929276811576,0.0861320495895904,[0.9962929276811576],[0.08613204958959045],1.0,5.0,0.8895628429051562,0.8895628429051562,0.1779125685810312,0.05,0.01,0.8395628429051561,0.1679125685810312,0.943166391950623,0.3387632278479593,[0.943166391950623],[0.3387632278479593],1,3,0.1063167162032127,0.1063167162032127,0.0354389054010709,0.03,0.01,0.0763167162032127,0.0254389054010709,0.3260624421843349,1.238660952910772,[0.3260624421843349],[1.238660952910772],1,3,0.0032799613608772,0.0032799613608772,0.0010933204536257,0.03,0.01,-0.0267200386391227,-0.0089066795463742,0.0572709469179377,1.5134940258280145,[0.05727094691793777],[1.5134940258280143],1.0,0.0,,,,,,,,,,[],[],1,4,0.1041051032391066,0.1041051032391066,0.0260262758097766,0.04,0.01,0.0641051032391066,0.0160262758097766,0.3226532244362461,1.2422650295153477,[0.32265322443624617],[1.2422650295153477],full_grid_extension
fullgrid_formal_20260817,0,3674827978,0,1001,6,extra,6,5,1,1,True,1.816264583883632e-15,True,1,5,0.0042718393036583,0.0042718393036583,0.0008543678607316,0.05,0.01,-0.0457281606963416,-0.0091456321392683,0.0653593092348626,1.5053903938004902,[0.0653593092348626],[1.5053903938004902],1.0,0.0,,,,,,,,,,[],[],1,3,0.720770903437477,0.720770903437477,0.2402569678124923,0.03,0.01,0.6907709034374769,0.2302569678124923,0.8489822751020641,0.5567399956646526,[0.8489822751020641],[0.5567399956646526],1,3,0.7753324202954986,0.7753324202954986,0.2584441400984995,0.03,0.01,0.7453324202954986,0.2484441400984995,0.8805296248823765,0.4938179103828325,[0.8805296248823765],[0.4938179103828325],1.0,4.0,0.8903034928319237,0.8903034928319237,0.2225758732079809,0.04,0.01,0.8503034928319236,0.2125758732079809,0.9435589503745506,0.337579977525039,[0.9435589503745506],[0.33757997752503904],1,4,0.9172037627452234,0.9172037627452234,0.2293009406863058,0.04,0.01,0.8772037627452234,0.2193009406863058,0.9577075559612253,0.2918697002926524,[0.9577075559612253],[0.29186970029265247],full_grid_extension
fullgrid_formal_20260817,0,3674827978,0,1001,8,extra,8,5,3,3,True,1.816264583883632e-15,True,3,5,0.008035813835488,0.0026786046118293,0.0016071627670976,0.05,0.03,-0.0473213953881706,-0.0283928372329023,0.0880029756446001,1.482679363261134,"[0.08800297564460018, 0.015361703598222974, 0.007436946668111255]","[1.4826793632611341, 1.5554340189517426, 1.5633593115710869]",3.0,0.0,,,,,,,,,,[],[],3,3,1.2619256830108774,0.4206418943369591,0.4206418943369591,0.03,0.03,0.3906418943369592,0.3906418943369592,0.9187424202032292,0.4059126323147547,"[0.9187424202032293, 0.6430734977022226, 0.06553262456990416]","[0.4059126323147547, 0.8722913672363303, 1.5052167060986976]",3,3,1.4070453076864229,0.4690151025621409,0.4690151025621409,0.03,0.03,0.4390151025621409,0.4390151025621409,0.9805955197333674,0.1973198554598224,"[0.9805955197333674, 0.6641515471401479, 0.06618501942749278]","[0.19731985545982245, 0.8444379869875104, 1.504562891766421]",3.0,4.0,1.8623786489621756,0.6207928829873919,0.4655946622405439,0.04,0.03,0.5807928829873918,0.4355946622405439,0.9663675193551848,0.2600873465250341,"[0.9663675193551848, 0.9134411469554138, 0.30681873728027126]","[0.2600873465250341, 0.41913540422285, 1.2589475804946755]",3,4,1.9069447007785896,0.6356482335928632,0.4767361751946473,0.04,0.03,0.5956482335928631,0.4467361751946473,0.97998299462158,0.2004202795911624,"[0.9799829946215799, 0.9217377351494258, 0.31141223263179124]","[0.20042027959116246, 0.39825858727645047, 1.2541175249200909]",full_grid_extension
fullgrid_formal_20260817,0,3674827978,0,1001,9,extra,9,5,4,4,True,1.816264583883632e-15,True,4,5,0.008179892101426,0.0020449730253565,0.0016359784202852,0.05,0.04,-0.0479550269746434,-0.0383640215797147,0.0880181247812044,1.4826641551099462,"[0.08801812478120447, 0.016315879803123625, 0.011058906983745035, 0.006647890943847868]","[1.4826641551099462, 1.5544797230022653, 1.5597371943824199, 1.5641483868834232]",4.0,0.0,,,,,,,,,,[],[],4,3,1.2950467890498178,0.3237616972624544,0.4316822630166059,0.03,0.04,0.2937616972624545,0.3916822630166059,0.9197731736071204,0.4032942082907218,"[0.9197731736071204, 0.6617144642716069, 0.10582091445571613]","[0.4032942082907218, 0.8476931702875209, 1.4647769121722807]",4,3,1.4403890047974488,0.3600972511993622,0.4801296682658162,0.03,0.04,0.3300972511993622,0.4401296682658163,0.9809543956676192,0.1954807873444664,"[0.9809543956676191, 0.6830726422807771, 0.10737431622777648]","[0.19548078734446644, 0.8188348449265157, 1.4632146086091335]",4.0,4.0,1.9164997581636,0.4791249395409,0.4791249395409,0.04,0.04,0.4391249395409,0.4391249395409,0.9663907505464616,0.2599969954307912,"[0.9663907505464616, 0.9143596621280843, 0.381365406729679, 0.03309849308909325]","[0.2599969954307912, 0.41687270090595613, 1.1795234449825467, 1.5376917874349296]",4,4,1.9713480813710365,0.4928370203427591,0.4928370203427591,0.04,0.04,0.4528370203427591,0.4528370203427591,0.980010293360274,0.2002831096515977,"[0.9800102933602739, 0.9223718135308422, 0.39508203687214083, 0.06378344631432055]","[0.2002831096515977, 0.39662039006480254, 1.1646391754945122, 1.5069695524472362]",full_grid_extension
fullgrid_formal_20260817,0,3674827978,20,1021,1,missing,1,5,4,4,True,2.0461228097495573e-15,True,4,5,3.981331588283892,0.9953328970709728,0.7962663176567784,0.05,0.04,0.9453328970709728,0.7562663176567783,0.9994173485244108,0.0341381916579979,"[0.9994173485244107, 0.9990288164062697, 0.9985060881729041, 0.9936918876713552]","[0.034138191657997925, 0.04407586264726655, 0.054667795591906564, 0.11238109764867264]",4.0,5.0,3.8009784985954247,0.9502446246488562,0.760195699719085,0.05,0.04,0.9002446246488561,0.7201956997190849,0.9988283777572542,0.0484117980943761,"[0.9988283777572542, 0.9985195695008834, 0.9845805229848302, 0.914811583586984]","[0.048411798094376166, 0.0544205094145176, 0.1758366712526736, 0.41575516767211496]",4,3,0.1894657523459716,0.0473664380864929,0.0631552507819905,0.03,0.04,0.0173664380864929,0.0231552507819905,0.3994508844108669,1.159878536678598,"[0.3994508844108669, 0.16884900662154584, 0.03734643560321546]","[1.159878536678598, 1.4011345349197146, 1.5334412042091825]",4,3,0.0091126626575069,0.0022781656643767,0.0030375542191689,0.03,0.04,-0.0277218343356232,-0.036962445780831,0.095193574238111,1.4754583919842958,"[0.09519357423811106, 0.006434200134524642, 0.0030736216275064152]","[1.4754583919842958, 1.56436208226471, 1.5677227003278755]",4.0,0.0,,,,,,,,,,[],[],4,4,0.1989186975387946,0.0497296743846986,0.0497296743846986,0.04,0.04,0.0097296743846986,0.0097296743846986,0.4027711392987043,1.1562539176828586,"[0.4027711392987043, 0.15254418032200184, 0.11437461672828779, 0.018515587621358152]","[1.1562539176828586, 1.4176542540723327, 1.456170864321881, 1.5522796810697812]",full_grid_extension
fullgrid_formal_20260817,0,3674827978,20,1021,2,missing,2,5,3,3,True,2.0461228097495573e-15,True,3,5,2.983443972642019,0.9944813242140064,0.5966887945284038,0.05,0.03,0.9444813242140064,0.5666887945284038,0.9993434414222055,0.0362389413542085,"[0.9993434414222055, 0.9985069283728027, 0.9938513836182715]","[0.03623894135420854, 0.05465241657993446, 0.11094978726673373]",3.0,5.0,2.8364210830021763,0.9454736943340588,0.5672842166004353,0.05,0.03,0.8954736943340588,0.5372842166004352,0.9986795898142978,0.051394569140552,"[0.9986795898142978, 0.9852302868868109, 0.9318698630664338]","[0.051394569140552, 0.1720826220032054, 0.37126305171193474]",3,3,0.1557385307750797,0.0519128435916932,0.0519128435916932,0.03,0.03,0.0219128435916932,0.0219128435916932,0.3572734421044438,1.2054492966247985,"[0.3572734421044438, 0.16552574412610205, 0.02637131724853006]","[1.2054492966247985, 1.404505241345449, 1.5444219519499018]",3,3,0.0087156411352355,0.0029052137117451,0.0029052137117451,0.03,0.03,-0.0270947862882548,-0.0270947862882548,0.093102944145764,1.477558350090628,"[0.093102944145764, 0.006334254852768644, 0.0027129581800126716]","[1.477558350090628, 1.5644620295833727, 1.5680833652869133]",3.0,0.0,,,,,,,,,,[],[],3,4,0.161410275571139,0.0538034251903796,0.0403525688927847,0.04,0.03,0.0138034251903796,0.0103525688927847,0.3579815783247854,1.2046910106175877,"[0.3579815783247854, 0.151500652680949, 0.1015234819560532]","[1.2046910106175877, 1.4187100532709072, 1.4690976302273848]",full_grid_extension
fullgrid_formal_20260817,0,3674827978,20,1021,4,missing,4,5,1,1,True,2.0461228097495573e-15,True,1,5,0.991936972015414,0.991936972015414,0.1983873944030827,0.05,0.01,0.9419369720154138,0.1883873944030827,0.995960326526822,0.0899154740172454,[0.995960326526822],[0.08991547401724544],1.0,5.0,0.8867651992243653,0.8867651992243653,0.177353039844873,0.05,0.01,0.8367651992243652,0.167353039844873,0.941682111555893,0.3432016944845376,[0.941682111555893],[0.34320169448453763],1,3,0.1092676057585275,0.1092676057585275,0.0364225352528425,0.03,0.01,0.0792676057585275,0.0264225352528425,0.3305565091758556,1.233903156505118,[0.33055650917585566],[1.233903156505118],1,3,0.0040958329674797,0.0040958329674797,0.0013652776558265,0.03,0.01,-0.0259041670325202,-0.0086347223441734,0.0639986950451315,1.5067538630363022,[0.06399869504513155],[1.5067538630363022],1.0,0.0,,,,,,,,,,[],[],1,4,0.1069558274341482,0.1069558274341482,0.026738956858537,0.04,0.01,0.0669558274341482,0.016738956858537,0.3270410179689212,1.237625619390519,[0.32704101796892127],[1.237625619390519],full_grid_extension
fullgrid_formal_20260817,0,3674827978,20,1021,6,extra,6,5,1,1,True,2.0461228097495573e-15,True,1,5,0.0053424222863296,0.0053424222863296,0.0010684844572659,0.05,0.01,-0.0446575777136703,-0.008931515542734,0.0730918756520155,1.4976392129046934,[0.07309187565201551],[1.4976392129046934],1.0,0.0,,,,,,,,,,[],[],1,3,0.7191204244157355,0.7191204244157355,0.2397068081385785,0.03,0.01,0.6891204244157355,0.2297068081385785,0.8480096841520948,0.5585778429562817,[0.8480096841520948],[0.5585778429562817],1,3,0.7747928346573241,0.7747928346573241,0.258264278219108,0.03,0.01,0.744792834657324,0.248264278219108,0.8802231732108193,0.4944640572583769,[0.8802231732108193],[0.4944640572583769],1.0,4.0,0.8868736778940225,0.8868736778940225,0.2217184194735056,0.04,0.01,0.8468736778940225,0.2117184194735056,0.9417397081434034,0.3430304916927167,[0.9417397081434034],[0.34303049169271677],1,4,0.9142929247362048,0.9142929247362048,0.2285732311840512,0.04,0.01,0.8742929247362049,0.2185732311840512,0.9561866578948928,0.2971096376150146,[0.9561866578948929],[0.2971096376150146],full_grid_extension
