run_id,replication,r_used,forecast_origin_index,eigen_rank,eigenvalue,exceeds_mp_edge,sq_projection_Q_F,sq_projection_Q_F_unique,sq_projection_Q_C,sq_projection_Q_C_unique,sq_projection_Q_C_full,sq_projection_Q_P4
fullgrid_formal_20260817,0,1,0,1,21.12580831078059,True,0.9915149741640717,0.9466996133319487,0.04553616250372256,0.0007208016716001087,0.046232500061508766,0.0500630494221172
fullgrid_formal_20260817,0,1,0,2,19.04648290565883,True,0.9917541317486155,0.9842334739498091,0.007816583170030691,0.00029592537122515516,0.024678115188089874,0.01850540200056701
fullgrid_formal_20260817,0,1,0,3,13.590591864093948,True,0.9870914235564685,0.9499601797206254,0.039845556511759375,0.0027143126759155258,0.04128411024024119,0.037447537391764256
fullgrid_formal_20260817,0,1,0,4,7.542606858196687,True,0.9833441128100822,0.9005423406170079,0.084049057694482,0.0012472855014085884,0.08414502250183478,0.08120832857772589
fullgrid_formal_20260817,0,1,0,5,2.778276732105058,True,0.00249125727767118,0.051427602255534555,0.7166857852206234,0.7656221301984869,0.8794134919658753,0.9065402258424557
fullgrid_formal_20260817,0,1,0,6,1.6539704862029248,False,0.0015085366446806892,0.07438613934654269,0.46286017007401087,0.5357377727758724,0.8560110619053027,0.8749231710676496
fullgrid_formal_20260817,0,1,0,7,0.6943571856422028,False,0.00047508606854585394,0.0005123429941492838,0.0032667407353688385,0.0033039976609722604,0.004111727601681408,0.0013658598054157663
fullgrid_formal_20260817,0,1,0,8,0.6785545547663392,False,0.00035772618162715857,0.0013466870160847215,0.05249353336384593,0.0534824941983034,0.0725640422532535,0.07386855621302278
fullgrid_formal_20260817,0,2,0,1,21.814561041839546,True,0.9905060693072388,0.9771656209359002,0.013672790586167374,0.00033234221482890007,0.02987577646858145,0.02414433693330561
fullgrid_formal_20260817,0,2,0,2,15.523729110208597,True,0.9711891206414356,0.9308081706126383,0.044858606530108355,0.004477656501310826,0.045694388109667944,0.04184571339810633
fullgrid_formal_20260817,0,2,0,3,9.30127087670426,True,0.9768796390262515,0.8843872691164812,0.09531073140712631,0.0028183614973567184,0.0961105907445257,0.09229878753008373
fullgrid_formal_20260817,0,2,0,4,3.719748515050481,True,0.004841951263480656,0.05016022930811198,0.6642245802028376,0.7095428582474683,0.8369184949688668,0.8690614840911319
fullgrid_formal_20260817,0,2,0,5,2.371703799877356,True,0.0042277487303666456,0.0777782702820671,0.46715397099235845,0.5407044925440592,0.8067742025334892,0.8260824861231554
fullgrid_formal_20260817,0,2,0,6,1.1761219219975985,False,0.0006221125807295784,0.001959142777136929,0.06134890988921207,0.06268594008561935,0.06135714220706628,0.07203927096758644
fullgrid_formal_20260817,0,2,0,7,1.1411714861473918,False,0.0009360847181371836,0.009789302794057427,0.1060573916677171,0.11491060974363712,0.20134860932967472,0.21592213629255147
fullgrid_formal_20260817,0,2,0,8,1.1282602717608867,False,0.0004246481418654227,0.0005683795910136826,0.017522058634520138,0.01766579008366839,0.020160394514986156,0.03360422453476883
fullgrid_formal_20260817,0,4,0,1,13.382343327590421,True,0.9816995741125534,0.8888998401572217,0.09704654013766295,0.004246806182331502,0.09731290264511584,0.09395590697719991
fullgrid_formal_20260817,0,4,0,2,5.822663628211617,True,0.008481444856274419,0.07030523978073844,0.7104958736554472,0.7723196685799109,0.8789323902401297,0.9016287300490231
fullgrid_formal_20260817,0,4,0,3,3.5862877187659565,True,0.0023139090626840787,0.07977735267183203,0.48347285476260415,0.5609362983717523,0.8680083727139245,0.8803605884246859
fullgrid_formal_20260817,0,4,0,4,1.4917702892486338,False,0.0006784160925663459,0.0019520964103225949,0.1434423490738566,0.14471602939161285,0.2119228765376558,0.2421573118336811
fullgrid_formal_20260817,0,4,0,5,1.4556008942338712,False,0.0002970752403137792,0.005613535931046741,0.17416317722448366,0.17947963791521662,0.19148316457858938,0.17204671446902337
fullgrid_formal_20260817,0,4,0,6,1.4343828613660643,False,0.0003076577890414824,0.00039900312765092606,0.01027703247339929,0.010368377812008727,0.011598634714555472,0.018917925793663106
fullgrid_formal_20260817,0,4,0,7,1.422326970119997,False,0.0006273272264420116,0.004799817026916311,0.06256198948133804,0.06673447928181232,0.07010576338530422,0.07727059402226885
fullgrid_formal_20260817,0,4,0,8,1.3596685609612202,False,4.490248211333439e-05,0.0004434832207233277,0.03530213941327917,0.03570072015188907,0.035360124553613065,0.027541831865577404
fullgrid_formal_20260817,0,6,0,1,4.290449682931142,True,0.004012338553543021,0.09265225450317924,0.4654217262997461,0.5540616422493828,0.8705657662579689,0.8850632345859827
fullgrid_formal_20260817,0,6,0,2,1.7116082785579532,False,0.00018935371694770096,0.0014567413624785434,0.08488544406183256,0.08615283170736315,0.13314111492559155,0.1442397826203073
fullgrid_formal_20260817,0,6,0,3,1.6997543391635133,False,7.47033079262064e-05,0.001837293697906657,0.0350060920640308,0.036768682454011214,0.04951386991954023,0.04669273173836096
fullgrid_formal_20260817,0,6,0,4,1.6671297229775377,False,0.0003525917958860563,0.0007338025155927675,0.010669696478156224,0.011050907197862916,0.01134578532296196,0.012800404579811466
fullgrid_formal_20260817,0,6,0,5,1.6196949258704034,False,0.00016763667761245983,0.0006350174301303237,0.11442596466179249,0.11489334541431015,0.1164865745386887,0.1216526466971988
fullgrid_formal_20260817,0,6,0,6,1.5971032998294008,False,0.000500364563764213,0.0013766865328162852,0.029274704585000377,0.030151026554052354,0.034131456746116916,0.018456177540442025
fullgrid_formal_20260817,0,6,0,7,1.5799019324710617,False,9.629028950319506e-05,0.00021043273620789698,0.010283209316049747,0.010397351762754433,0.010566789327559507,0.018375798341963272
fullgrid_formal_20260817,0,6,0,8,1.5602972329621176,False,0.0003365210557208515,0.008373648233368457,0.09370885708810282,0.1017459842657504,0.11624297337845552,0.1270875911838239
fullgrid_formal_20260817,0,8,0,1,1.8002273572783247,True,0.00011376200194896947,0.00020690898598884589,0.03964778660936493,0.03974093359340478,0.05587556523076589,0.0684700746304465
fullgrid_formal_20260817,0,8,0,2,1.75281608137718,True,9.779401795393962e-05,0.000823927296945014,0.06310935791775601,0.06383549119674695,0.06456560311662513,0.05220801980677029
fullgrid_formal_20260817,0,8,0,3,1.7095680713252326,False,4.418276324955044e-05,0.00029435083852504603,0.05781440859082849,0.058064576666103866,0.06162815502186054,0.06502559206267451
fullgrid_formal_20260817,0,8,0,4,1.685388891471951,False,0.00040819329480053555,0.0019695845610615812,0.012874023918010572,0.01443541518427157,0.01628513257796302,0.008466605137626069
fullgrid_formal_20260817,0,8,0,5,1.6618023747095099,False,0.00027903781880334543,0.003163010455767038,0.023311366277374852,0.026195338914338544,0.04034175628684782,0.03150112556646293
fullgrid_formal_20260817,0,8,0,6,1.6462354963348438,False,5.096836853856548e-05,0.0028886581493530548,0.08771881167305437,0.09055650145386883,0.0898328488358016,0.10786003284801456
fullgrid_formal_20260817,0,8,0,7,1.6218056846209863,False,6.569125610936166e-05,0.0006500514282365673,0.07584481235044388,0.07642917252257109,0.07821377422332311,0.07262186407458612
fullgrid_formal_20260817,0,8,0,8,1.5923139805935498,False,9.086282074756184e-05,0.0010000579862188888,0.04125134751270602,0.0421605426781773,0.06222506438135271,0.05889459851724172
fullgrid_formal_20260817,0,9,0,1,1.786444752948902,True,9.676937864961138e-05,0.0005457751022229572,0.06968928528170305,0.07013829100527624,0.06974243544140499,0.061435895176685275
fullgrid_formal_20260817,0,9,0,2,1.7585450462631607,True,3.783005260166233e-05,0.0004330560157625549,0.07296053911350675,0.07335576507666748,0.07567498796356176,0.07974491423847986
