run_id,replication,r_used,forecast_origin_index,eig_rank,eigenvalue,exceeds_mp_edge,sq_proj_Q_F,sq_proj_Q_F_unique,sq_proj_Q_C,sq_proj_Q_C_unique,sq_proj_Q_C_full,sq_proj_Q_P4,source
fullgrid_formal_20260817,0,1,0,1,21.12580831078059,True,0.9915149741640716,0.9466996133319489,0.0455361625037225,0.0007208016716001,0.0462325000615087,0.0500630494221172,full_grid_extension
fullgrid_formal_20260817,0,1,0,2,19.04648290565883,True,0.9917541317486156,0.9842334739498092,0.0078165831700306,0.0002959253712251,0.0246781151880898,0.018505402000567,full_grid_extension
fullgrid_formal_20260817,0,1,0,3,13.590591864093948,True,0.9870914235564684,0.9499601797206254,0.0398455565117593,0.0027143126759155,0.0412841102402411,0.0374475373917642,full_grid_extension
fullgrid_formal_20260817,0,1,0,4,7.542606858196687,True,0.9833441128100822,0.9005423406170079,0.084049057694482,0.0012472855014085,0.0841450225018347,0.0812083285777258,full_grid_extension
fullgrid_formal_20260817,0,1,0,5,2.778276732105058,True,0.0024912572776711,0.0514276022555345,0.7166857852206234,0.7656221301984869,0.8794134919658753,0.9065402258424556,full_grid_extension
fullgrid_formal_20260817,0,1,0,6,1.6539704862029248,False,0.0015085366446806,0.0743861393465426,0.4628601700740108,0.5357377727758724,0.8560110619053027,0.8749231710676496,full_grid_extension
fullgrid_formal_20260817,0,1,0,7,0.6943571856422028,False,0.0004750860685458,0.0005123429941492,0.0032667407353688,0.0033039976609722,0.0041117276016814,0.0013658598054157,full_grid_extension
fullgrid_formal_20260817,0,1,0,8,0.6785545547663392,False,0.0003577261816271,0.0013466870160847,0.0524935333638459,0.0534824941983034,0.0725640422532535,0.0738685562130227,full_grid_extension
fullgrid_formal_20260817,0,2,0,1,21.814561041839543,True,0.9905060693072388,0.9771656209359002,0.0136727905861673,0.0003323422148289,0.0298757764685814,0.0241443369333056,full_grid_extension
fullgrid_formal_20260817,0,2,0,2,15.523729110208595,True,0.9711891206414356,0.9308081706126384,0.0448586065301083,0.0044776565013108,0.0456943881096679,0.0418457133981063,full_grid_extension
fullgrid_formal_20260817,0,2,0,3,9.30127087670426,True,0.9768796390262516,0.8843872691164812,0.0953107314071263,0.0028183614973567,0.0961105907445257,0.0922987875300837,full_grid_extension
fullgrid_formal_20260817,0,2,0,4,3.719748515050481,True,0.0048419512634806,0.0501602293081119,0.6642245802028376,0.7095428582474683,0.8369184949688668,0.8690614840911319,full_grid_extension
fullgrid_formal_20260817,0,2,0,5,2.371703799877356,True,0.0042277487303666,0.0777782702820671,0.4671539709923584,0.5407044925440592,0.8067742025334892,0.8260824861231554,full_grid_extension
fullgrid_formal_20260817,0,2,0,6,1.1761219219975985,False,0.0006221125807295,0.0019591427771369,0.061348909889212,0.0626859400856193,0.0613571422070662,0.0720392709675864,full_grid_extension
fullgrid_formal_20260817,0,2,0,7,1.1411714861473918,False,0.0009360847181371,0.0097893027940574,0.1060573916677171,0.1149106097436371,0.2013486093296747,0.2159221362925514,full_grid_extension
fullgrid_formal_20260817,0,2,0,8,1.1282602717608867,False,0.0004246481418654,0.0005683795910136,0.0175220586345201,0.0176657900836683,0.0201603945149861,0.0336042245347688,full_grid_extension
fullgrid_formal_20260817,0,4,0,1,13.38234332759042,True,0.9816995741125534,0.8888998401572217,0.0970465401376629,0.0042468061823315,0.0973129026451158,0.0939559069771999,full_grid_extension
fullgrid_formal_20260817,0,4,0,2,5.822663628211617,True,0.0084814448562744,0.0703052397807384,0.7104958736554472,0.7723196685799109,0.8789323902401297,0.9016287300490232,full_grid_extension
fullgrid_formal_20260817,0,4,0,3,3.5862877187659565,True,0.002313909062684,0.079777352671832,0.4834728547626041,0.5609362983717523,0.8680083727139245,0.8803605884246859,full_grid_extension
fullgrid_formal_20260817,0,4,0,4,1.4917702892486338,False,0.0006784160925663,0.0019520964103225,0.1434423490738566,0.1447160293916128,0.2119228765376558,0.2421573118336811,full_grid_extension
fullgrid_formal_20260817,0,4,0,5,1.4556008942338712,False,0.0002970752403137,0.0056135359310467,0.1741631772244836,0.1794796379152166,0.1914831645785893,0.1720467144690233,full_grid_extension
fullgrid_formal_20260817,0,4,0,6,1.4343828613660643,False,0.0003076577890414,0.0003990031276509,0.0102770324733992,0.0103683778120087,0.0115986347145554,0.0189179257936631,full_grid_extension
fullgrid_formal_20260817,0,4,0,7,1.422326970119997,False,0.000627327226442,0.0047998170269163,0.062561989481338,0.0667344792818123,0.0701057633853042,0.0772705940222688,full_grid_extension
fullgrid_formal_20260817,0,4,0,8,1.3596685609612202,False,4.490248211333439e-05,0.0004434832207233,0.0353021394132791,0.035700720151889,0.035360124553613,0.0275418318655774,full_grid_extension
fullgrid_formal_20260817,0,6,0,1,4.290449682931142,True,0.004012338553543,0.0926522545031792,0.4654217262997461,0.5540616422493828,0.8705657662579689,0.8850632345859827,full_grid_extension
fullgrid_formal_20260817,0,6,0,2,1.7116082785579532,False,0.0001893537169477,0.0014567413624785,0.0848854440618325,0.0861528317073631,0.1331411149255915,0.1442397826203073,full_grid_extension
fullgrid_formal_20260817,0,6,0,3,1.6997543391635133,False,7.47033079262064e-05,0.0018372936979066,0.0350060920640308,0.0367686824540112,0.0495138699195402,0.0466927317383609,full_grid_extension
fullgrid_formal_20260817,0,6,0,4,1.6671297229775377,False,0.000352591795886,0.0007338025155927,0.0106696964781562,0.0110509071978629,0.0113457853229619,0.0128004045798114,full_grid_extension
fullgrid_formal_20260817,0,6,0,5,1.6196949258704034,False,0.0001676366776124,0.0006350174301303,0.1144259646617924,0.1148933454143101,0.1164865745386887,0.1216526466971988,full_grid_extension
fullgrid_formal_20260817,0,6,0,6,1.5971032998294008,False,0.0005003645637642,0.0013766865328162,0.0292747045850003,0.0301510265540523,0.0341314567461169,0.018456177540442,full_grid_extension
fullgrid_formal_20260817,0,6,0,7,1.5799019324710617,False,9.629028950319506e-05,0.0002104327362078,0.0102832093160497,0.0103973517627544,0.0105667893275595,0.0183757983419632,full_grid_extension
fullgrid_formal_20260817,0,6,0,8,1.5602972329621176,False,0.0003365210557208,0.0083736482333684,0.0937088570881028,0.1017459842657504,0.1162429733784555,0.1270875911838239,full_grid_extension
fullgrid_formal_20260817,0,8,0,1,1.8002273572783247,True,0.0001137620019489,0.0002069089859888,0.0396477866093649,0.0397409335934047,0.0558755652307658,0.0684700746304465,full_grid_extension
fullgrid_formal_20260817,0,8,0,2,1.75281608137718,True,9.779401795393962e-05,0.000823927296945,0.063109357917756,0.0638354911967469,0.0645656031166251,0.0522080198067702,full_grid_extension
fullgrid_formal_20260817,0,8,0,3,1.7095680713252326,False,4.418276324955044e-05,0.000294350838525,0.0578144085908284,0.0580645766661038,0.0616281550218605,0.0650255920626745,full_grid_extension
fullgrid_formal_20260817,0,8,0,4,1.685388891471951,False,0.0004081932948005,0.0019695845610615,0.0128740239180105,0.0144354151842715,0.016285132577963,0.008466605137626,full_grid_extension
