replication,r_used,mean,n_valid_origins,n_total_origins,metric,series
7,7,0.00036144405667867195,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,8,0.00044699078051033293,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,9,0.0006433411760922279,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,1,0.7920971590067183,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,2,0.5939108354455995,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,3,0.5042195885970464,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,4,0.35173716983670433,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,5,0.07822818737103787,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,6,0.020231891499285126,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,7,0.004775873093544664,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,8,0.004908759018453996,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,9,0.00501241918538342,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,1,0.652526737740899,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,2,0.5977360446355489,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,3,0.503722541476209,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,4,0.34746137668946375,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,5,0.042062447686483366,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,6,0.025512916068635573,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,7,0.006085561018816732,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,8,0.004240400753287204,25,25,UMP_Q_F_unique_purity,mechanism_cell
9,9,0.002584995400606368,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,1,0.659827088692332,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,2,0.5840253333206895,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,3,0.49316224071587966,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,4,0.3425580374414736,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,5,0.06694189945130902,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,6,0.05381750319456659,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,7,0.0033706385715259403,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,8,0.00578746872829294,25,25,UMP_Q_F_unique_purity,mechanism_cell
10,9,0.005558579540703899,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,1,0.69001918392544,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,2,0.5873093003379184,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,3,0.49791764116396486,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,4,0.3435479180718007,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,5,0.041839355421976726,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,6,0.02131475287658792,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,7,0.0026983662041319,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,8,0.003296016760275492,25,25,UMP_Q_F_unique_purity,mechanism_cell
11,9,0.004168982426762788,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,1,0.6486540620694937,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,2,0.5862324675171228,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,3,0.49497775679315126,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,4,0.3375913072939321,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,5,0.05244437430520845,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,6,0.009247720505199411,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,7,0.0025006404281536997,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,8,0.0020687077286443882,25,25,UMP_Q_F_unique_purity,mechanism_cell
12,9,0.00109649936982414,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,1,0.6451766317492342,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,2,0.5827259111183092,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,3,0.48758455646405735,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,4,0.32912124268260107,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,5,0.07731910759143738,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,6,0.03866075305443677,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,7,0.010947188066982184,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,8,0.0034039593628360358,25,25,UMP_Q_F_unique_purity,mechanism_cell
13,9,0.0029656345997610602,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,1,0.8181402155793316,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,2,0.6087494120436695,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,3,0.5006018986867278,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,4,0.37349290974074556,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,5,0.07347506819256032,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,6,0.036193889303119245,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,7,0.010062699665822551,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,8,0.004906574779175316,25,25,UMP_Q_F_unique_purity,mechanism_cell
14,9,0.003456658991721912,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,1,0.6419239796527515,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,2,0.5834592169271818,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,3,0.4855995420199528,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,4,0.3615836389537207,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,5,0.06618926700357902,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,6,0.02699712607452931,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,7,0.003936058686728028,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,8,0.003010717554879192,25,25,UMP_Q_F_unique_purity,mechanism_cell
15,9,0.002146950927154252,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,1,0.6557485336692566,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,2,0.5865570369999942,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,3,0.49552689090744856,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,4,0.34548101015043664,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,5,0.05048282242534045,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,6,0.04905799242424516,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,7,0.004368804965815284,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,8,0.00380229761826512,25,25,UMP_Q_F_unique_purity,mechanism_cell
16,9,0.003156063206948724,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,1,0.6875650830264286,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,2,0.5875882493675953,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,3,0.4861077315750456,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,4,0.33018007460160953,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,5,0.02443424683433758,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,6,0.014499687022887153,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,7,0.003737349830846712,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,8,0.002726703574931976,25,25,UMP_Q_F_unique_purity,mechanism_cell
17,9,0.0016342599567394519,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,1,0.6926820010172746,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,2,0.5765414059587219,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,3,0.5036004345995997,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,4,0.3532320381076169,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,5,0.04843569530613042,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,6,0.04484283823910628,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,7,0.006064232872635989,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,8,0.003506394822386012,25,25,UMP_Q_F_unique_purity,mechanism_cell
18,9,0.0026139523287490043,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,1,0.8402246235364456,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,2,0.6019636702826545,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,3,0.48565356964324896,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,4,0.3386624854151355,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,5,0.06081647429084921,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,6,0.044798825287685556,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,7,0.004600271165793172,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,8,0.002608813648598244,25,25,UMP_Q_F_unique_purity,mechanism_cell
19,9,0.002173551739534964,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,1,0.057767416244215386,25,25,U4_Q_C_capture,mechanism_cell
0,2,0.2798646326030677,25,25,U4_Q_C_capture,mechanism_cell
0,3,0.4310555583961889,25,25,U4_Q_C_capture,mechanism_cell
0,4,0.5315977929125278,25,25,U4_Q_C_capture,mechanism_cell
0,5,0.564784089691845,25,25,U4_Q_C_capture,mechanism_cell
0,6,0.29650691518937233,25,25,U4_Q_C_capture,mechanism_cell
0,7,0.14286219998578667,25,25,U4_Q_C_capture,mechanism_cell
0,8,0.07892139923292064,25,25,U4_Q_C_capture,mechanism_cell
0,9,0.07226112334457223,25,25,U4_Q_C_capture,mechanism_cell
1,1,0.0645449280417212,25,25,U4_Q_C_capture,mechanism_cell
1,2,0.33335324307333136,25,25,U4_Q_C_capture,mechanism_cell
1,3,0.4314297615593858,25,25,U4_Q_C_capture,mechanism_cell
1,4,0.46831785051421376,25,25,U4_Q_C_capture,mechanism_cell
1,5,0.48216447299208737,25,25,U4_Q_C_capture,mechanism_cell
1,6,0.20529159169049663,25,25,U4_Q_C_capture,mechanism_cell
1,7,0.057691729412496305,25,25,U4_Q_C_capture,mechanism_cell
1,8,0.0581539046548344,25,25,U4_Q_C_capture,mechanism_cell
1,9,0.044730710946678715,25,25,U4_Q_C_capture,mechanism_cell
2,1,0.07587024829814851,25,25,U4_Q_C_capture,mechanism_cell
2,2,0.32340729031549914,25,25,U4_Q_C_capture,mechanism_cell
2,3,0.42740246108173574,25,25,U4_Q_C_capture,mechanism_cell
2,4,0.416925369702596,25,25,U4_Q_C_capture,mechanism_cell
2,5,0.48194338736692055,25,25,U4_Q_C_capture,mechanism_cell
2,6,0.2179121956989302,25,25,U4_Q_C_capture,mechanism_cell
2,7,0.09720989884745242,25,25,U4_Q_C_capture,mechanism_cell
2,8,0.08893780834665051,25,25,U4_Q_C_capture,mechanism_cell
2,9,0.05094237508242694,25,25,U4_Q_C_capture,mechanism_cell
3,1,0.08362906347634526,25,25,U4_Q_C_capture,mechanism_cell
3,2,0.3312944301344739,25,25,U4_Q_C_capture,mechanism_cell
3,3,0.4493502960748176,25,25,U4_Q_C_capture,mechanism_cell
3,4,0.5644614207459628,25,25,U4_Q_C_capture,mechanism_cell
3,5,0.5836712502225121,25,25,U4_Q_C_capture,mechanism_cell
3,6,0.32772379925545214,25,25,U4_Q_C_capture,mechanism_cell
3,7,0.17265996338908335,25,25,U4_Q_C_capture,mechanism_cell
3,8,0.09498457372648651,25,25,U4_Q_C_capture,mechanism_cell
3,9,0.037726954548544134,25,25,U4_Q_C_capture,mechanism_cell
4,1,0.10080918216589042,25,25,U4_Q_C_capture,mechanism_cell
4,2,0.33570814634105267,25,25,U4_Q_C_capture,mechanism_cell
4,3,0.4717979284083406,25,25,U4_Q_C_capture,mechanism_cell
4,4,0.5396883153395065,25,25,U4_Q_C_capture,mechanism_cell
4,5,0.5714466624824229,25,25,U4_Q_C_capture,mechanism_cell
4,6,0.2863694236528342,25,25,U4_Q_C_capture,mechanism_cell
4,7,0.12274049670488454,25,25,U4_Q_C_capture,mechanism_cell
4,8,0.07923234664403202,25,25,U4_Q_C_capture,mechanism_cell
4,9,0.06826827793057436,25,25,U4_Q_C_capture,mechanism_cell
5,1,0.04939185698564571,25,25,U4_Q_C_capture,mechanism_cell
5,2,0.28534254565510386,25,25,U4_Q_C_capture,mechanism_cell
5,3,0.43277117536954934,25,25,U4_Q_C_capture,mechanism_cell
5,4,0.4771218958750707,25,25,U4_Q_C_capture,mechanism_cell
5,5,0.5641011451922036,25,25,U4_Q_C_capture,mechanism_cell
5,6,0.29190485912518965,25,25,U4_Q_C_capture,mechanism_cell
5,7,0.1134270582723607,25,25,U4_Q_C_capture,mechanism_cell
5,8,0.08288458910498259,25,25,U4_Q_C_capture,mechanism_cell
5,9,0.06773757653527496,25,25,U4_Q_C_capture,mechanism_cell
6,1,0.08970451275819523,25,25,U4_Q_C_capture,mechanism_cell
6,2,0.26479479728233324,25,25,U4_Q_C_capture,mechanism_cell
6,3,0.43311331826912464,25,25,U4_Q_C_capture,mechanism_cell
6,4,0.4546506046211087,25,25,U4_Q_C_capture,mechanism_cell
6,5,0.44810769869391537,25,25,U4_Q_C_capture,mechanism_cell
